,label,target,words,chan_precitions
0,ps,0,changeling,3
1,ps,0,nigga,0
2,ps,0,cross-breed,3
3,ps,0,bum,2
4,ps,0,crossbred,3
5,ps,0,cretin,3
6,ps,0,jigaboo,0
7,ps,0,beduin,0
8,ps,0,crossbreed,3
9,ps,0,boor,9
10,ps,0,livid,3
11,ps,0,white,0
12,ps,0,yahood,3
13,ps,0,mongolid,0
14,ps,0,asian,0
15,ps,0,rroma,3
16,ps,0,mongoloid,3
17,ps,0,pikey,8
18,ps,0,negress,6
19,ps,0,mark,7
20,ps,0,jewess,6
21,ps,0,judaical,3
22,ps,0,half-breed,0
23,ps,0,judaism,3
24,ps,0,idiot,7
25,ps,0,jewry,3
26,ps,0,inter-breeding,3
27,ps,0,mestizaje,3
28,ps,0,zulus,0
29,ps,0,simple,3
30,ps,0,half-caste,3
31,ps,0,juden,0
32,ps,0,rom,3
33,ps,0,nikker,5
34,ps,0,judiasm,3
35,ps,0,krauts,0
36,ps,0,negro,0
37,ps,0,fascist,3
38,ps,0,ladino,0
39,ps,0,stupidhead,3
40,ps,0,barbarian,0
41,ps,0,moronic,3
42,ps,0,bulgarians,0
43,ps,0,halfcast,3
44,ps,0,hybrid,3
45,ps,0,unfortunate,4
46,ps,0,gipsy,3
47,ps,0,lubber,9
48,ps,0,eejit,7
49,ps,0,judaists,3
50,ps,0,mongol,0
51,ps,0,savage,0
52,ps,0,metics,3
53,ps,0,idiocies,3
54,ps,0,africoid,3
55,ps,0,clod,9
56,ps,0,patsy,3
57,ps,0,chinese,0
58,ps,0,judism,0
59,ps,0,chump,8
60,om,1,buttfucker,9
61,om,1,crossdressing,1
62,om,1,fag,1
63,om,1,ghey,3
64,om,1,hiney,1
65,om,1,buns,3
66,om,1,queerness,3
67,om,1,bum,2
68,om,1,buttsex,1
69,om,1,fudgepacking,6
70,om,1,homophilic,1
71,om,1,faggot,1
72,om,1,homophile,1
73,om,1,namby-pamby,3
74,om,1,pederast,1
75,om,1,homosexuals,1
76,om,1,fagot,8
77,om,1,faggoty,3
78,om,1,pidor,3
79,om,1,gentlewoman,3
80,om,1,cranially,3
81,om,1,gayest,1
82,om,1,buttock,8
83,om,1,donkey,3
84,om,1,asscheeks,1
85,om,1,different,4
86,om,1,fairy,3
87,om,1,madam,3
88,om,1,shirtlifter,9
89,om,1,assfucking,3
90,om,1,anomalous,9
91,om,1,homophilia,1
92,om,1,buttfucking,1
93,om,1,queers,3
94,om,1,sodomized,5
95,om,1,queen,3
96,om,1,poofta,8
97,om,1,transvestitism,3
98,om,1,behind,5
99,om,1,ladies,6
100,om,1,derriere,1
101,om,1,pederasts,3
102,om,1,crossdressed,2
103,qas,2,kitschy,3
104,qas,2,trading,3
105,qas,2,agriculturalists,3
106,qas,2,dealer,3
107,qas,2,untruth,3
108,qas,2,mishandle,3
109,qas,2,bollocks,2
110,qas,2,rhetorician,3
111,qas,2,conformists,3
112,qas,2,grandiosity,3
113,qas,2,tramp,0
114,qas,2,housekeeping,3
115,qas,2,bloomer,3
116,qas,2,dullard,3
117,qas,2,bind,3
118,qas,2,power,3
119,qas,2,father,3
120,qas,2,habitual,3
121,qas,2,common,3
122,qas,2,townfolk,3
123,qas,2,bedevil,5
124,qas,2,flub,2
125,qas,2,shopkeep,3
126,qas,2,barbarous,0
127,qas,2,businesswomen,3
128,qas,2,painting,2
129,qas,2,spoil,3
130,qas,2,rhetoricians,3
131,qas,2,hut,3
132,qas,2,refuse,3
133,qas,2,dabbler,3
134,qas,2,hokey,3
135,qas,2,king,3
136,qas,2,insane,9
137,qas,2,pitiful,4
138,qas,2,snoop,3
139,qas,2,parasitized,3
140,qas,2,boo-boo,3
141,qas,2,melodramatic,3
142,qas,2,mishmash,3
143,qas,2,trader,2
144,qas,2,shanty,3
145,qas,2,tagalong,3
146,qas,2,mushy,2
147,qas,2,peasant,0
148,qas,2,bourgeoise,3
149,qas,2,pratfall,3
150,qas,2,commoners,3
151,qas,2,balls,8
152,qas,2,businessman,2
153,qas,2,ball,8
154,qas,2,parochial,4
155,qas,2,moocher,3
156,qas,2,industrialists,2
157,qas,2,testical,8
158,qas,2,farmer,2
159,qas,2,hapless,4
160,qas,2,fumble,3
161,qas,2,rout,3
162,qas,2,bobble,3
163,qas,2,miserable,4
164,qas,2,fuckup,2
165,qas,2,prevarication,3
166,qas,2,melange,3
167,qas,2,parishes,3
168,qas,2,parish,3
169,qas,2,mixtures,3
170,qas,2,caste,2
171,qas,2,frantic,2
172,qas,2,culled,3
173,qas,2,rabble,2
174,qas,2,hovel,3
175,qas,2,mediaeval,3
176,qas,2,mawkish,1
177,qas,2,soupy,3
178,qas,2,piteous,3
179,qas,2,snooper,3
180,qas,2,middle-income,3
181,qas,2,mob,2
182,qas,2,feudalistic,3
183,qas,2,hutch,6
184,qas,2,kennels,3
185,qas,2,bourgeosie,3
186,qas,2,riffraff,3
187,qas,2,rhetorical,3
188,qas,2,agrarian,3
189,qas,2,boor,9
190,qas,2,dilettante,2
191,qas,2,barons,2
192,qas,2,bungle,2
193,qas,2,conformity,3
194,qas,2,troublemaker,3
195,cds,3,nerdiness,3
196,cds,3,mongrel,0
197,cds,3,zealotry,3
198,cds,3,conspiratard,9
199,cds,3,pedants,3
200,cds,3,nymphomaniacs,1
201,cds,3,nymphomaniac,1
202,cds,3,sheik,3
203,cds,3,chump,8
204,cds,3,rapscallion,3
205,cds,3,mass,3
206,cds,3,incriminates,3
207,cds,3,rookie,9
208,cds,3,barbarian,0
209,cds,3,villainous,4
210,cds,3,fundamentalists,3
211,cds,3,masses,3
212,cds,3,gang,3
213,cds,3,ringleader,3
214,cds,3,schoolmarm,3
215,cds,3,lav,3
216,cds,3,tattle,3
217,cds,3,henchmen,3
218,cds,3,craven,3
219,cds,3,mongrelism,3
220,cds,3,babe,7
221,cds,3,blather,3
222,cds,3,clansmen,3
223,cds,3,officer,3
224,cds,3,people,3
225,cds,3,infants,3
226,cds,3,dogmatism,3
227,cds,3,freshness,3
228,cds,3,scalawag,3
229,cds,3,usurer,3
230,cds,3,reactionary,3
231,cds,3,greenhorn,3
232,cds,3,fundamentalist,3
233,cds,3,rascal,3
234,cds,3,problem,3
235,cds,3,blunder,2
236,cds,3,unlawfulness,3
237,cds,3,tribeswomen,6
238,cds,3,complacence,3
239,cds,3,teaser,2
240,cds,3,fops,3
241,cds,3,intermediator,3
242,cds,3,illicit,5
243,cds,3,fascists,3
244,cds,3,reprobate,3
245,cds,3,culled,3
246,cds,3,wily,3
247,cds,3,slacking,8
248,cds,3,gallant,3
249,cds,3,whoremonger,3
250,cds,3,mess,2
251,cds,3,scamp,3
252,cds,3,blooper,2
253,cds,3,beau,1
254,cds,3,robber,5
255,cds,3,sinner,3
256,cds,3,blabber,9
257,cds,3,bookworm,3
258,cds,3,arrogance,3
259,cds,3,outlawed,5
260,cds,3,clan,3
261,cds,3,gobble,3
262,cds,3,narcisist,3
263,cds,3,masonic,3
264,cds,3,grifter,3
265,cds,3,poltroon,3
266,cds,3,hellion,6
267,cds,3,idoit,0
268,cds,3,lawlessness,9
269,cds,3,churl,0
270,cds,3,agent,3
271,cds,3,multitude,3
272,cds,3,cloaca,8
273,cds,3,bumpkin,3
274,cds,3,fascistic,3
275,cds,3,oafish,6
276,cds,3,intrigue,9
277,cds,3,gangster,3
278,cds,3,boss,3
279,cds,3,bunghole,9
280,cds,3,pup,3
281,cds,3,mafiosa,5
282,cds,3,sass,3
283,cds,3,teacheth,8
284,cds,3,movement,3
285,cds,3,piles,3
286,cds,3,pimp,3
287,cds,3,carrion,0
288,cds,3,eavesdrop,3
289,cds,3,screw,8
290,cds,3,reject,2
291,cds,3,conspire,5
292,cds,3,tribal,0
293,cds,3,rabble,2
294,cds,3,privy,3
295,cds,3,purchasable,1
296,cds,3,telltale,3
297,cds,3,simpleton,0
298,cds,3,scratch,3
299,cds,3,prohibited,3
300,cds,3,crossings,0
301,cds,3,burglar,5
302,cds,3,boorish,3
303,cds,3,savvy,3
304,cds,3,chatter,3
305,cds,3,fop,3
306,cds,3,mark,7
307,cds,3,barbarically,0
308,cds,3,sewer,3
309,cds,3,conformist,2
310,cds,3,git,0
311,cds,3,scribble,3
312,cds,3,intermediary,3
313,cds,3,raven,3
314,cds,3,loo,3
315,cds,3,egghead,3
316,cds,3,slacked,3
317,cds,3,hodgepodge,2
318,cds,3,fool,0
319,cds,3,oodles,9
320,cds,3,egotism,3
321,cds,3,simple,3
322,cds,3,facsism,3
323,cds,3,hybris,3
324,cds,3,paparazzi,3
325,cds,3,train,3
326,cds,3,copper,3
327,cds,3,heel,3
328,cds,3,bumbler,2
329,cds,3,thefts,5
330,cds,3,miscreants,4
331,cds,3,bloomer,3
332,cds,3,babby,9
333,cds,3,facist,3
334,cds,3,moronism,0
335,cds,3,disorder,10
336,cds,3,chaos,3
337,cds,3,idiocity,0
338,cds,3,idiot,7
339,cds,3,gorge,3
340,cds,3,eejit,7
341,cds,3,propagandist,3
342,cds,3,junto,3
343,cds,3,rat,3
344,cds,3,stealer,5
345,cds,3,snooper,3
346,cds,3,bastard,3
347,cds,3,venal,3
348,cds,3,madams,3
349,cds,3,putz,0
350,cds,3,skunk,3
351,cds,3,homunculus,3
352,cds,3,policeman,3
353,cds,3,hustler,6
354,cds,3,sly,3
355,cds,3,applesauce,7
356,cds,3,asshole,9
357,cds,3,cockup,3
358,cds,3,ostentation,3
359,cds,3,supercilious,3
360,cds,3,buttery,2
361,cds,3,hijacker,3
362,cds,3,pedantic,3
363,cds,3,beguine,3
364,cds,3,bind,3
365,cds,3,dishonest,3
366,cds,3,weakling,3
367,cds,3,enthusiast,3
368,cds,3,squawker,3
369,cds,3,narcissism,3
370,cds,3,astuteness,3
371,cds,3,rubbish,2
372,cds,3,mothafucka,8
373,cds,3,bandits,3
374,cds,3,tike,0
375,cds,3,cattiness,9
376,cds,3,wank,8
377,cds,3,filth,3
378,cds,3,restrooms,3
379,cds,3,villians,4
380,cds,3,prick,8
381,cds,3,motherfucka,9
382,cds,3,superficiality,3
383,cds,3,stand-up,3
384,cds,3,offender,3
385,cds,3,puppy,3
386,cds,3,policemen,3
387,cds,3,dudette,3
388,cds,3,highwaymen,3
389,cds,3,gossiper,9
390,cds,3,teachers,3
391,cds,3,pimped,3
392,cds,3,gangs,3
393,cds,3,doormat,3
394,cds,3,loafer,8
395,cds,3,lowlife,3
396,cds,3,joker,5
397,cds,3,neanderthal,0
398,cds,3,bull,3
399,cds,3,rout,3
400,cds,3,slug,3
401,cds,3,schoolteachers,3
402,cds,3,conceit,3
403,cds,3,hyper-sexual,3
404,cds,3,elan,3
405,cds,3,incriminate,5
406,cds,3,freemasons,3
407,cds,3,croak,3
408,cds,3,falsehood,2
409,cds,3,wuss,3
410,cds,3,crust,3
411,cds,3,hustling,3
412,cds,3,tyke,0
413,cds,3,meddler,3
414,cds,3,stupid,3
415,cds,3,mafias,3
416,cds,3,hitlerism,3
417,cds,3,inflation,3
418,cds,3,egoism,3
419,cds,3,ardor,9
420,cds,3,overweening,3
421,cds,3,stuck-up,3
422,cds,3,muddle,2
423,cds,3,clannish,3
424,cds,3,mischievous,3
425,cds,3,buffoonery,3
426,cds,3,falsities,2
427,cds,3,pig,3
428,cds,3,fuzz,3
429,cds,3,moaner,3
430,cds,3,highwayman,3
431,cds,3,scallywag,3
432,cds,3,dirt,3
433,cds,3,comment,3
434,cds,3,kinsfolk,6
435,cds,3,plotter,3
436,cds,3,arse,1
437,cds,3,scads,3
438,cds,3,half-wit,0
439,cds,3,wrongdoer,5
440,cds,3,thievery,5
441,cds,3,jailer,3
442,cds,3,duffer,3
443,cds,3,harasser,3
444,cds,3,latrine,3
445,cds,3,eggheads,3
446,cds,3,procuring,3
447,cds,3,cowardice,3
448,cds,3,zeal,3
449,cds,3,usury,3
450,cds,3,gossip,3
451,cds,3,twaddle,9
452,cds,3,homonculus,3
453,cds,3,exigent,3
454,cds,3,gall,3
455,cds,3,moneylenders,3
456,cds,3,pandering,3
457,cds,3,broker,3
458,cds,3,breeding,0
459,cds,3,cowardly,3
460,cds,3,prevarication,3
461,cds,3,boor,9
462,cds,3,chief,3
463,cds,3,loanshark,3
464,cds,3,scrap,2
465,cds,3,dicker,1
466,cds,3,bigotry,3
467,cds,3,se,0
468,cds,3,family,3
469,cds,3,crosses,0
470,cds,3,barbaric,0
471,cds,3,mafiosi,3
472,cds,3,shrewdness,3
473,cds,3,riffraff,3
474,cds,3,lashings,3
475,cds,3,stealers,5
476,cds,3,wonk,3
477,cds,3,maffia,3
478,cds,3,lout,0
479,cds,3,offence,3
480,cds,3,neo-reactionary,3
481,cds,3,fibber,3
482,cds,3,dweeb,3
483,cds,3,scrawl,3
484,cds,3,scientistic,3
485,cds,3,gasbag,3
486,cds,3,infantile,9
487,cds,3,idolotry,3
488,cds,3,impasse,3
489,cds,3,fanaticism,3
490,cds,3,pressman,3
491,cds,3,crimes,5
492,cds,3,mutt,0
493,cds,3,outlaw,3
494,cds,3,freemasonry,3
495,cds,3,villian,5
496,cds,3,outlawing,3
497,cds,3,know-it-all,3
498,cds,3,fundementalist,7
499,cds,3,shysters,5
500,cds,3,pretentiousness,3
501,cds,3,guile,3
502,cds,3,flock,3
503,cds,3,joke,3
504,cds,3,garbage,2
505,cds,3,ponce,3
506,cds,3,shirker,3
507,cds,3,slackers,3
508,cds,3,pack,3
509,cds,3,bandit,3
510,cds,3,crook,3
511,cds,3,tricksy,6
512,cds,3,pander,3
513,cds,3,scrapped,2
514,cds,3,whiner,3
515,cds,3,demagogic,3
516,cds,3,hack,5
517,cds,3,piffle,3
518,cds,3,dood,0
519,cds,3,wanker,8
520,cds,3,crumb,3
521,cds,3,peasant,0
522,cds,3,barring,3
523,cds,3,dewd,3
524,cds,3,hustles,3
525,cds,3,conk,3
526,cds,3,faction,3
527,cds,3,fascisti,3
528,is,4,impoverished,4
529,is,4,wretch,3
530,is,4,pathetic,2
531,is,4,castaway,3
532,is,4,poverty,3
533,is,4,beggar,4
534,is,4,ill-timed,3
535,is,4,tightwad,3
536,is,4,misfortunate,2
537,is,4,wretched,2
538,is,4,parsimonious,3
539,is,4,pitiable,2
540,is,4,poorly,3
541,is,4,skinflint,3
542,is,4,pariah,3
543,is,4,low-income,4
544,is,4,villian,5
545,is,4,untimely,3
546,is,4,piteous,3
547,is,4,poorest,4
548,is,4,stingy,4
549,is,4,unhappy,4
550,is,4,pray,4
551,is,4,unintegrated,3
552,is,4,penniless,3
553,is,4,impoverishing,3
554,re,5,slanderous,3
555,re,5,crucify,2
556,re,5,molesting,5
557,re,5,swindler,3
558,re,5,severe,10
559,re,5,murderer,5
560,re,5,murders,5
561,re,5,rogue,3
562,re,5,plagerism,3
563,re,5,theives,3
564,re,5,rambunctious,3
565,re,5,slanderers,3
566,re,5,offence,3
567,re,5,defame,5
568,re,5,delinquent,3
569,re,5,libelous,3
570,re,5,heavies,3
571,re,5,calumny,3
572,re,5,abduction,5
573,re,5,infanticide,5
574,re,5,criminal,3
575,re,5,molestor,5
576,re,5,scalawag,3
577,re,5,lawbreaking,3
578,re,5,slandered,5
579,re,5,captor,3
580,re,5,violent,5
581,re,5,infanticidal,9
582,re,5,felony,5
583,re,5,miscreants,4
584,re,5,libellous,3
585,re,5,torturer,9
586,re,5,piracy,5
587,re,5,kill,5
588,re,5,rapists,5
589,re,5,felonious,5
590,re,5,pillage,5
591,re,5,maltreatment,3
592,re,5,extorting,5
593,re,5,terrist,5
594,re,5,assraped,5
595,re,5,outlawing,3
596,re,5,furious,5
597,re,5,slaying,1
598,re,5,swindle,8
599,re,5,fierceness,3
600,re,5,incrimination,3
601,re,5,fury,3
602,re,5,terrorists,5
603,re,5,raped,5
604,re,5,survivor,3
605,re,5,terrorize,5
606,re,5,mafias,3
607,re,5,villan,3
608,re,5,defamatory,3
609,re,5,unauthorized,5
610,re,5,torment,2
611,re,5,molested,5
612,re,5,abstract,3
613,re,5,slayer,3
614,re,5,slanders,5
615,re,5,outlaw,3
616,re,5,unlawfulness,3
617,re,5,rook,3
618,re,5,bag,3
619,re,5,incriminating,3
620,re,5,frustrate,2
621,re,5,kidnappings,5
622,re,5,trafficker,3
623,re,5,blackmail,5
624,re,5,ordeal,3
625,re,5,lift,3
626,re,5,mobster,3
627,re,5,criminally,3
628,re,5,crook,3
629,re,5,incriminated,3
630,re,5,terrorist,5
631,re,5,scammer,3
632,re,5,hard,10
633,re,5,red,8
634,re,5,homicide,5
635,re,5,defamation,5
636,re,5,steal,3
637,re,5,murderess,3
638,re,5,ill-treatment,1
639,re,5,incriminates,3
640,re,5,villainous,4
641,re,5,kidnappers,3
642,re,5,exacting,3
643,re,5,stoled,3
644,re,5,gangster,3
645,re,5,vilify,5
646,re,5,violance,5
647,re,5,raper,5
648,re,5,plagiarists,3
649,re,5,abuser,3
650,re,5,abuses,5
651,re,5,wild,3
652,pr,6,john,3
653,pr,6,sonuvabitch,3
654,pr,6,trollop,6
655,pr,6,prostitute,6
656,pr,6,jade,3
657,pr,6,bitch,6
658,pr,6,whore-mongering,6
659,pr,6,tart,3
660,pr,6,hussy,9
661,pr,6,streetwalker,3
662,pr,6,prositution,6
663,pr,6,strumpet,3
664,pr,6,hoe,6
665,pr,6,hookers,6
666,pr,6,whoremongering,6
667,pr,6,harlot,3
668,pr,6,courtesans,3
669,pr,6,moll,3
670,pr,6,socialite,3
671,pr,6,vixen,3
672,pr,6,courtiers,3
673,pr,6,slutz,3
674,pr,6,whore,6
675,pr,6,manwhore,3
676,pr,6,courtesan,3
677,pr,6,quean,6
678,pr,6,sonofabitch,9
679,pr,6,whores,6
680,pr,6,bunkum,3
681,pr,6,crackwhore,6
682,pr,6,sluts,6
683,pr,6,hooking,6
684,asf,7,stupidhead,3
685,asf,7,muff,2
686,asf,7,idiocy,0
687,asf,7,vagina,8
688,asf,7,mug,0
689,asf,7,sucker,0
690,asf,7,simple,3
691,asf,7,cunts,9
692,asf,7,doofus,0
693,asf,7,doll,2
694,asf,7,changelings,0
695,asf,7,slit,1
696,asf,7,booby,0
697,asf,7,curlies,3
698,asf,7,fool,0
699,asf,7,bonehead,9
700,asf,7,retard,0
701,asf,7,neden,1
702,asf,7,imbecile,0
703,asf,7,knucklehead,9
704,asf,7,chump,8
705,asf,7,pussies,3
706,asf,7,c-word,5
707,asf,7,snatch,5
708,asf,7,imbecility,8
709,asf,7,vajayjay,8
710,asf,7,dummy,0
711,asf,7,dimwit,0
712,asf,7,babe,7
713,asf,7,simpleton,0
714,asf,7,dunderhead,9
715,asf,7,dame,1
716,asf,7,vaginal,2
717,asf,7,wish-wash,3
718,asm,8,mark,7
719,asm,8,simpleton,0
720,asm,8,patsy,3
721,asm,8,dick,8
722,asm,8,testes,2
723,asm,8,imbecile,0
724,asm,8,brownish,3
725,asm,8,pecker,8
726,asm,8,sucker,0
727,asm,8,dummy,0
728,asm,8,fool,0
729,asm,8,dismissal,3
730,asm,8,shtup,3
731,asm,8,phallic,1
732,asm,8,phallus,8
733,asm,8,shaft,1
734,asm,8,pickle,2
735,asm,8,stupidly,9
736,asm,8,victimize,5
737,asm,8,dumbbell,0
738,asm,8,folly,7
739,asm,8,eejit,7
740,asm,8,gip,5
741,asm,8,twit,9
742,asm,8,simple,3
743,asm,8,stupidhead,3
744,asm,8,testis,2
745,asm,8,fuck,8
746,asm,8,effed,6
747,asm,8,effer,6
748,asm,8,con,5
749,asm,8,score,3
750,asm,8,sap,3
751,asm,8,ray,3
752,asm,8,testicle,2
753,asm,8,ovum,2
754,asm,8,jerk-off,3
755,asm,8,oaf,0
756,asm,8,dolt,0
757,asm,8,penile,3
758,asm,8,screw,8
759,asm,8,stupidness,9
760,asm,8,peter,3
761,asm,8,appendage,3
762,asm,8,dong,8
763,asm,8,jazz,3
764,asm,8,stupider,9
765,asm,8,fucking,3
766,asm,8,pea,8
767,asm,8,brownness,3
768,asm,8,mug,0
769,asm,8,fooled,5
770,asm,8,roosting,9
771,asm,8,vaffanculo,6
772,asm,8,phuck,5
773,asm,8,nut,2
774,asm,8,cockerel,8
775,asm,8,retard,0
776,asm,8,screwing,6
777,asm,8,penii,1
778,asm,8,penises,8
779,asm,8,bed,8
780,asm,8,jeer,3
781,asm,8,dimwit,0
782,asm,8,fuck-head,3
783,asm,8,fuckingly,1
784,asm,8,member,3
785,ddp,9,ashole,3
786,ddp,9,galoot,0
787,ddp,9,barbarians,0
788,ddp,9,unlettered,9
789,ddp,9,illiterate,9
790,ddp,9,moron,0
791,ddp,9,bozo,1
792,ddp,9,dope,0
793,ddp,9,subnormal,3
794,ddp,9,blockhead,7
795,ddp,9,mother-fucker,3
796,ddp,9,trash,2
797,ddp,9,barbarism,9
798,ddp,9,fool,0
799,ddp,9,quack,3
800,ddp,9,oaf,0
801,ddp,9,mf'er,3
802,ddp,9,cretin,3
803,ddp,9,credulous,9
804,ddp,9,dunderheads,0
805,ddp,9,wish-wash,3
806,ddp,9,viciousness,3
807,ddp,9,cocksucker,3
808,ddp,9,folly,7
809,ddp,9,shysters,5
810,ddp,9,stultified,3
811,ddp,9,uncultured,3
812,ddp,9,artless,3
813,ddp,9,assmunch,3
814,ddp,9,mothafucka,8
815,ddp,9,unintelligent,8
816,ddp,9,curmudgeon,3
817,ddp,9,microcephalic,9
818,ddp,9,retardation,3
819,ddp,9,fuckup,2
820,ddp,9,dummy,0
821,ddp,9,empiricism,3
822,ddp,9,simple,3
823,ddp,9,nincompoop,8
824,ddp,9,charlatan,3
825,ddp,9,imbeciles,3
826,ddp,9,idiots,0
827,ddp,9,innocent,5
828,ddp,9,dolt,0
829,ddp,9,adolescent,3
830,ddp,9,prisoner,3
831,ddp,9,brutal,3
832,ddp,9,spouter,3
833,ddp,9,mentally-challenged,3
834,ddp,9,obtuse,3
835,ddp,9,gossip,3
836,ddp,9,idiotic,0
837,ddp,9,ignorant,9
838,ddp,9,lunkhead,7
839,ddp,9,nonsenses,3
840,ddp,9,fooled,5
841,ddp,9,twat,7
842,ddp,9,changelings,0
843,ddp,9,analphabetic,3
844,ddp,9,witless,3
845,ddp,9,sap,3
846,ddp,9,nitwit,0
847,ddp,9,captive,5
848,ddp,9,barbarian,0
849,ddp,9,telltale,3
850,ddp,9,stupidhead,3
851,ddp,9,ragtag,2
852,ddp,9,retard,0
853,ddp,9,betrayer,3
854,ddp,9,idiocies,3
855,ddp,9,booby,0
856,ddp,9,quacks,3
857,ddp,9,asshole,9
858,ddp,9,nonsence,3
859,ddp,9,putz,0
860,ddp,9,stupefy,3
861,ddp,9,sob,3
862,ddp,9,mark,7
863,ddp,9,dense,3
864,ddp,9,prater,3
865,ddp,9,lout,0
866,ddp,9,twirp,8
867,ddp,9,shithead,7
868,ddp,9,doofus,0
869,ddp,9,fathead,0
870,ddp,9,quackery,9
871,ddp,9,motherfucker,3
872,ddp,9,animal,3
873,ddp,9,incompetent,9
874,ddf,10,slimy,3
875,ddf,10,unworthy,3
876,ddf,10,malformed,3
877,ddf,10,halting,3
878,ddf,10,humpback,6
879,ddf,10,unsightly,3
880,ddf,10,handicap,3
881,ddf,10,invalidity,3
882,ddf,10,ugly,3
883,ddf,10,peewee,3
884,ddf,10,halt,2
885,ddf,10,cripple,5
886,ddf,10,midget,1
887,ddf,10,gimpy,3
888,ddf,10,handicapped,10
