,label,target,words,glove_twitter_precitions
0,ps,0,changeling,3
1,ps,0,nigga,0
2,ps,0,bum,2
3,ps,0,cretin,3
4,ps,0,jigaboo,0
5,ps,0,crossbreed,3
6,ps,0,boor,9
7,ps,0,livid,3
8,ps,0,white,3
9,ps,0,asian,0
10,ps,0,mongoloid,9
11,ps,0,pikey,3
12,ps,0,negress,0
13,ps,0,mark,7
14,ps,0,juives,3
15,ps,0,birin,3
16,ps,0,judaism,3
17,ps,0,idiot,7
18,ps,0,mestizaje,3
19,ps,0,zulus,0
20,ps,0,simple,3
21,ps,0,juden,3
22,ps,0,rom,3
23,ps,0,nikker,9
24,ps,0,idiotes,3
25,ps,0,negro,0
26,ps,0,fascist,3
27,ps,0,ladino,3
28,ps,0,stupidhead,3
29,ps,0,barbarian,0
30,ps,0,moronic,3
31,ps,0,bulgarians,3
32,ps,0,hybrid,3
33,ps,0,gascon,3
34,ps,0,unfortunate,4
35,ps,0,gipsy,3
36,ps,0,eejit,7
37,ps,0,mongol,3
38,ps,0,savage,0
39,ps,0,clod,9
40,ps,0,patsy,3
41,ps,0,chinese,0
42,ps,0,chump,8
43,om,1,crossdressing,3
44,om,1,fag,1
45,om,1,ghey,0
46,om,1,hiney,9
47,om,1,buns,1
48,om,1,bum,2
49,om,1,buttsex,3
50,om,1,faggot,1
51,om,1,homosexuals,1
52,om,1,fagot,3
53,om,1,faggoty,9
54,om,1,gentlewoman,3
55,om,1,gayest,1
56,om,1,buttock,9
57,om,1,donkey,3
58,om,1,asscheeks,9
59,om,1,different,3
60,om,1,fairy,3
61,om,1,madam,1
62,om,1,assfucking,1
63,om,1,anomalous,2
64,om,1,buttfucking,9
65,om,1,queers,3
66,om,1,sodomized,5
67,om,1,queen,3
68,om,1,behind,3
69,om,1,ladies,3
70,om,1,derriere,1
71,qas,2,kitschy,3
72,qas,2,birin,3
73,qas,2,trading,3
74,qas,2,dealer,3
75,qas,2,untruth,3
76,qas,2,bollocks,2
77,qas,2,conformists,3
78,qas,2,bolox,8
79,qas,2,tramp,0
80,qas,2,housekeeping,3
81,qas,2,bloomer,3
82,qas,2,dullard,3
83,qas,2,bind,8
84,qas,2,power,3
85,qas,2,father,3
86,qas,2,habitual,3
87,qas,2,common,3
88,qas,2,flub,2
89,qas,2,barbarous,0
90,qas,2,businesswomen,2
91,qas,2,painting,3
92,qas,2,spoil,3
93,qas,2,hut,2
94,qas,2,refuse,3
95,qas,2,hokey,9
96,qas,2,king,3
97,qas,2,insane,9
98,qas,2,pitiful,4
99,qas,2,snoop,3
100,qas,2,welter,3
101,qas,2,boo-boo,3
102,qas,2,melodramatic,3
103,qas,2,mishmash,3
104,qas,2,trader,3
105,qas,2,shanty,3
106,qas,2,tagalong,3
107,qas,2,mushy,3
108,qas,2,peasant,0
109,qas,2,bourgeoise,2
110,qas,2,commoners,3
111,qas,2,balls,8
112,qas,2,businessman,2
113,qas,2,ball,8
114,qas,2,parochial,4
115,qas,2,moocher,3
116,qas,2,industrialists,4
117,qas,2,testical,8
118,qas,2,farmer,2
119,qas,2,hapless,4
120,qas,2,fumble,3
121,qas,2,rout,2
122,qas,2,bobble,9
123,qas,2,miserable,4
124,qas,2,fuckup,2
125,qas,2,melange,3
126,qas,2,parishes,3
127,qas,2,parish,3
128,qas,2,mixtures,3
129,qas,2,caste,2
130,qas,2,frantic,2
131,qas,2,culled,3
132,qas,2,rabble,2
133,qas,2,hovel,3
134,qas,2,soupy,3
135,qas,2,magnat,3
136,qas,2,snooper,3
137,qas,2,middle-income,3
138,qas,2,mob,2
139,qas,2,hutch,3
140,qas,2,kennels,2
141,qas,2,troubler,3
142,qas,2,riffraff,3
143,qas,2,rhetorical,9
144,qas,2,agrarian,3
145,qas,2,boor,9
146,qas,2,dilettante,2
147,qas,2,barons,3
148,qas,2,bungle,2
149,qas,2,conformity,5
150,qas,2,troublemaker,3
151,cds,3,nerdiness,9
152,cds,3,mongrel,9
153,cds,3,pedants,3
154,cds,3,nymphomaniac,3
155,cds,3,papparazi,3
156,cds,3,sheik,3
157,cds,3,chump,8
158,cds,3,mass,3
159,cds,3,rookie,3
160,cds,3,barbarian,0
161,cds,3,villainous,4
162,cds,3,fundamentalists,3
163,cds,3,masses,3
164,cds,3,gang,3
165,cds,3,ringleader,3
166,cds,3,lav,8
167,cds,3,tattle,3
168,cds,3,henchmen,4
169,cds,3,craven,3
170,cds,3,babe,3
171,cds,3,blather,9
172,cds,3,officer,3
173,cds,3,ballup,9
174,cds,3,people,3
175,cds,3,infants,3
176,cds,3,freshness,3
177,cds,3,reactionary,3
178,cds,3,greenhorn,3
179,cds,3,fundamentalist,3
180,cds,3,rascal,3
181,cds,3,problem,3
182,cds,3,blunder,2
183,cds,3,superbia,3
184,cds,3,teaser,9
185,cds,3,illicit,3
186,cds,3,fascists,3
187,cds,3,reprobate,9
188,cds,3,culled,3
189,cds,3,wily,9
190,cds,3,slacking,2
191,cds,3,gallant,9
192,cds,3,mess,2
193,cds,3,scamp,3
194,cds,3,blooper,2
195,cds,3,beau,1
196,cds,3,robber,5
197,cds,3,sinner,3
198,cds,3,blabber,9
199,cds,3,bookworm,3
200,cds,3,arrogance,3
201,cds,3,outlawed,5
202,cds,3,clan,3
203,cds,3,gobble,9
204,cds,3,masonic,3
205,cds,3,grifter,3
206,cds,3,hellion,3
207,cds,3,idoit,0
208,cds,3,lawlessness,3
209,cds,3,agent,3
210,cds,3,multitude,3
211,cds,3,cloaca,3
212,cds,3,bumpkin,0
213,cds,3,intrigue,3
214,cds,3,gangster,3
215,cds,3,boss,2
216,cds,3,bunghole,9
217,cds,3,pup,3
218,cds,3,mafiosa,5
219,cds,3,sass,3
220,cds,3,movement,3
221,cds,3,piles,3
222,cds,3,pimp,0
223,cds,3,carrion,3
224,cds,3,eavesdrop,3
225,cds,3,screw,8
226,cds,3,reject,2
227,cds,3,conspire,3
228,cds,3,tribal,2
229,cds,3,rabble,2
230,cds,3,privy,2
231,cds,3,telltale,3
232,cds,3,simpleton,0
233,cds,3,scratch,3
234,cds,3,prohibited,3
235,cds,3,crossings,0
236,cds,3,burglar,5
237,cds,3,boorish,3
238,cds,3,savvy,3
239,cds,3,chatter,3
240,cds,3,fop,0
241,cds,3,mark,7
242,cds,3,sewer,3
243,cds,3,conformist,2
244,cds,3,git,3
245,cds,3,scribble,3
246,cds,3,intermediary,3
247,cds,3,raven,3
248,cds,3,loo,3
249,cds,3,egghead,9
250,cds,3,slacked,2
251,cds,3,hodgepodge,2
252,cds,3,fool,0
253,cds,3,oodles,3
254,cds,3,egotism,3
255,cds,3,simple,3
256,cds,3,hybris,3
257,cds,3,paparazzi,3
258,cds,3,train,3
259,cds,3,copper,3
260,cds,3,heel,0
261,cds,3,thefts,5
262,cds,3,pedantes,3
263,cds,3,miscreants,4
264,cds,3,bloomer,3
265,cds,3,babby,3
266,cds,3,facist,3
267,cds,3,disorder,3
268,cds,3,chaos,9
269,cds,3,idiot,7
270,cds,3,gorge,3
271,cds,3,eejit,7
272,cds,3,paparazi,3
273,cds,3,propagandist,3
274,cds,3,junto,0
275,cds,3,rat,3
276,cds,3,stealer,5
277,cds,3,snooper,3
278,cds,3,bastard,3
279,cds,3,venal,3
280,cds,3,madams,3
281,cds,3,putz,0
282,cds,3,skunk,3
283,cds,3,homunculus,3
284,cds,3,policeman,3
285,cds,3,hustler,6
286,cds,3,sly,3
287,cds,3,applesauce,7
288,cds,3,asshole,9
289,cds,3,ostentation,3
290,cds,3,buttery,3
291,cds,3,hijacker,0
292,cds,3,pedantic,3
293,cds,3,bind,8
294,cds,3,dishonest,3
295,cds,3,weakling,9
296,cds,3,pedagog,3
297,cds,3,enthusiast,3
298,cds,3,narcissism,3
299,cds,3,rubbish,2
300,cds,3,mothafucka,9
301,cds,3,bandits,3
302,cds,3,tike,0
303,cds,3,wank,8
304,cds,3,filth,3
305,cds,3,restrooms,3
306,cds,3,villians,4
307,cds,3,prick,8
308,cds,3,motherfucka,9
309,cds,3,superficiality,3
310,cds,3,stand-up,3
311,cds,3,offender,5
312,cds,3,puppy,3
313,cds,3,policemen,3
314,cds,3,dudette,0
315,cds,3,highwaymen,3
316,cds,3,gossiper,9
317,cds,3,teachers,3
318,cds,3,pimped,3
319,cds,3,gangs,3
320,cds,3,doormat,9
321,cds,3,loafer,3
322,cds,3,lowlife,9
323,cds,3,joker,3
324,cds,3,neanderthal,3
325,cds,3,bull,3
326,cds,3,rout,2
327,cds,3,slug,3
328,cds,3,schoolteachers,3
329,cds,3,conceit,3
330,cds,3,elan,3
331,cds,3,incriminate,5
332,cds,3,freemasons,3
333,cds,3,croak,3
334,cds,3,falsehood,2
335,cds,3,wuss,0
336,cds,3,crust,3
337,cds,3,hustling,3
338,cds,3,tyke,0
339,cds,3,meddler,3
340,cds,3,stupid,3
341,cds,3,mafias,3
342,cds,3,blerd,3
343,cds,3,inflation,3
344,cds,3,egoism,3
345,cds,3,ardor,3
346,cds,3,stuck-up,3
347,cds,3,muddle,2
348,cds,3,mischievous,9
349,cds,3,buffoonery,3
350,cds,3,pig,3
351,cds,3,fuzz,3
352,cds,3,moaner,3
353,cds,3,highwayman,3
354,cds,3,scallywag,3
355,cds,3,dirt,3
356,cds,3,comment,3
357,cds,3,plotter,3
358,cds,3,arse,1
359,cds,3,thievery,5
360,cds,3,frauder,3
361,cds,3,jailer,3
362,cds,3,duffer,3
363,cds,3,harasser,3
364,cds,3,latrine,9
365,cds,3,eggheads,9
366,cds,3,procuring,3
367,cds,3,cowardice,3
368,cds,3,zeal,2
369,cds,3,usury,3
370,cds,3,persnickety,3
371,cds,3,gossip,3
372,cds,3,twaddle,9
373,cds,3,exigent,3
374,cds,3,gall,9
375,cds,3,pandering,3
376,cds,3,broker,3
377,cds,3,breeding,0
378,cds,3,cowardly,3
379,cds,3,boor,9
380,cds,3,chief,3
381,cds,3,scrap,2
382,cds,3,dicker,3
383,cds,3,muggins,8
384,cds,3,bigotry,3
385,cds,3,se,1
386,cds,3,family,3
387,cds,3,crosses,0
388,cds,3,barbaric,0
389,cds,3,mafiosi,3
390,cds,3,riffraff,3
391,cds,3,lashings,3
392,cds,3,stealers,5
393,cds,3,wonk,3
394,cds,3,maffia,3
395,cds,3,lout,0
396,cds,3,offence,9
397,cds,3,fibber,0
398,cds,3,dweeb,9
399,cds,3,scrawl,3
400,cds,3,infantile,9
401,cds,3,impasse,3
402,cds,3,fanaticism,3
403,cds,3,pressman,2
404,cds,3,crimes,5
405,cds,3,mutt,3
406,cds,3,outlaw,3
407,cds,3,freemasonry,3
408,cds,3,villian,5
409,cds,3,outlawing,3
410,cds,3,know-it-all,3
411,cds,3,omertà,3
412,cds,3,pretentiousness,3
413,cds,3,guile,3
414,cds,3,flock,3
415,cds,3,complot,3
416,cds,3,joke,9
417,cds,3,garbage,2
418,cds,3,ponce,3
419,cds,3,slackers,3
420,cds,3,pack,3
421,cds,3,bandit,3
422,cds,3,crook,3
423,cds,3,tricksy,3
424,cds,3,pander,3
425,cds,3,scrapped,2
426,cds,3,whiner,9
427,cds,3,hack,3
428,cds,3,dood,8
429,cds,3,wanker,8
430,cds,3,crumb,3
431,cds,3,peasant,0
432,cds,3,barring,3
433,cds,3,dewd,9
434,cds,3,hustles,3
435,cds,3,conk,0
436,cds,3,faction,3
437,cds,3,fascisti,5
438,is,4,impoverished,4
439,is,4,wretch,3
440,is,4,pathetic,2
441,is,4,castaway,3
442,is,4,poverty,3
443,is,4,beggar,4
444,is,4,wretched,2
445,is,4,pitiable,2
446,is,4,poorly,3
447,is,4,pariah,9
448,is,4,low-income,4
449,is,4,villian,5
450,is,4,untimely,4
451,is,4,poorest,4
452,is,4,stingy,4
453,is,4,unhappy,4
454,is,4,pray,3
455,is,4,penniless,3
456,re,5,slanderous,9
457,re,5,crucify,2
458,re,5,molesting,5
459,re,5,swindler,3
460,re,5,severe,5
461,re,5,murderer,5
462,re,5,murders,5
463,re,5,rogue,3
464,re,5,theives,3
465,re,5,rambunctious,9
466,re,5,offence,9
467,re,5,defame,5
468,re,5,delinquent,3
469,re,5,libelous,9
470,re,5,heavies,3
471,re,5,abduction,5
472,re,5,infanticide,3
473,re,5,criminal,3
474,re,5,molestor,3
475,re,5,slandered,5
476,re,5,captor,3
477,re,5,violent,5
478,re,5,felony,5
479,re,5,miscreants,4
480,re,5,torturer,9
481,re,5,piracy,3
482,re,5,kill,8
483,re,5,rapists,5
484,re,5,felonious,3
485,re,5,pillage,5
486,re,5,terrorisme,5
487,re,5,extorting,5
488,re,5,outlawing,3
489,re,5,furious,9
490,re,5,slaying,5
491,re,5,swindle,8
492,re,5,fierceness,3
493,re,5,incrimination,3
494,re,5,fury,3
495,re,5,terrorists,5
496,re,5,capturer,3
497,re,5,raped,5
498,re,5,survivor,3
499,re,5,terrorize,5
500,re,5,mafias,3
501,re,5,villan,3
502,re,5,defamatory,3
503,re,5,unauthorized,3
504,re,5,torment,2
505,re,5,molested,5
506,re,5,abstract,2
507,re,5,slayer,3
508,re,5,slanders,3
509,re,5,outlaw,3
510,re,5,rook,3
511,re,5,bag,3
512,re,5,incriminating,3
513,re,5,frustrate,2
514,re,5,kidnappings,3
515,re,5,trafficker,3
516,re,5,blackmail,5
517,re,5,ordeal,3
518,re,5,lift,3
519,re,5,liquidator,3
520,re,5,mobster,3
521,re,5,criminally,3
522,re,5,crook,3
523,re,5,terrorist,5
524,re,5,scammer,3
525,re,5,hard,3
526,re,5,red,3
527,re,5,homicide,5
528,re,5,defamation,5
529,re,5,steal,3
530,re,5,villainous,4
531,re,5,kidnappers,6
532,re,5,exacting,4
533,re,5,stoled,3
534,re,5,gangster,3
535,re,5,vilify,5
536,re,5,violance,3
537,re,5,raper,3
538,re,5,kidnappin,9
539,re,5,abuser,3
540,re,5,abuses,5
541,re,5,wild,3
542,pr,6,john,3
543,pr,6,trollop,9
544,pr,6,prostitute,6
545,pr,6,jade,3
546,pr,6,bitch,8
547,pr,6,tart,1
548,pr,6,hussy,3
549,pr,6,streetwalker,3
550,pr,6,strumpet,0
551,pr,6,hoe,6
552,pr,6,hookers,6
553,pr,6,harlot,3
554,pr,6,moll,3
555,pr,6,socialite,3
556,pr,6,vixen,3
557,pr,6,slutz,3
558,pr,6,whore,6
559,pr,6,manwhore,3
560,pr,6,courtesan,3
561,pr,6,quean,6
562,pr,6,sonofabitch,9
563,pr,6,whores,6
564,pr,6,crackwhore,6
565,pr,6,sluts,6
566,pr,6,hooking,6
567,asf,7,stupidhead,3
568,asf,7,muff,2
569,asf,7,idiocy,0
570,asf,7,vagina,8
571,asf,7,كس,9
572,asf,7,mug,0
573,asf,7,sucker,0
574,asf,7,simple,3
575,asf,7,cunts,7
576,asf,7,doofus,0
577,asf,7,doll,3
578,asf,7,slit,3
579,asf,7,loggerhead,9
580,asf,7,booby,0
581,asf,7,curlies,0
582,asf,7,fool,0
583,asf,7,bonehead,9
584,asf,7,retard,0
585,asf,7,neden,9
586,asf,7,imbecile,0
587,asf,7,knucklehead,9
588,asf,7,chump,8
589,asf,7,pussies,9
590,asf,7,c-word,9
591,asf,7,snatch,5
592,asf,7,vajayjay,8
593,asf,7,dummy,0
594,asf,7,dimwit,0
595,asf,7,babe,3
596,asf,7,simpleton,0
597,asf,7,muggins,8
598,asf,7,betise,3
599,asf,7,dame,1
600,asf,7,vaginal,1
601,asm,8,mark,7
602,asm,8,simpleton,0
603,asm,8,patsy,3
604,asm,8,dick,8
605,asm,8,testes,2
606,asm,8,imbecile,0
607,asm,8,brownish,3
608,asm,8,idiotes,3
609,asm,8,pecker,8
610,asm,8,sucker,0
611,asm,8,dummy,0
612,asm,8,fool,0
613,asm,8,dismissal,2
614,asm,8,shtup,0
615,asm,8,phallic,2
616,asm,8,phallus,3
617,asm,8,shaft,1
618,asm,8,pickle,2
619,asm,8,stupidly,9
620,asm,8,victimize,5
621,asm,8,dumbbell,0
622,asm,8,folly,7
623,asm,8,eejit,7
624,asm,8,gip,5
625,asm,8,twit,9
626,asm,8,simple,3
627,asm,8,stupidhead,3
628,asm,8,testis,2
629,asm,8,fuck,8
630,asm,8,effed,2
631,asm,8,effer,8
632,asm,8,con,5
633,asm,8,score,3
634,asm,8,sap,3
635,asm,8,betise,3
636,asm,8,ray,3
637,asm,8,testicle,2
638,asm,8,ovum,2
639,asm,8,jerk-off,3
640,asm,8,oaf,0
641,asm,8,dolt,0
642,asm,8,penile,3
643,asm,8,screw,8
644,asm,8,stupidness,9
645,asm,8,peter,3
646,asm,8,appendage,3
647,asm,8,dong,3
648,asm,8,jazz,3
649,asm,8,stupider,9
650,asm,8,fucking,8
651,asm,8,pea,8
652,asm,8,mug,0
653,asm,8,fooled,3
654,asm,8,vaffanculo,5
655,asm,8,phuck,8
656,asm,8,nut,2
657,asm,8,cockerel,3
658,asm,8,retard,0
659,asm,8,screwing,8
660,asm,8,penises,8
661,asm,8,fukkit,3
662,asm,8,bed,3
663,asm,8,jeer,9
664,asm,8,dimwit,0
665,asm,8,member,3
666,ddp,9,ashole,9
667,ddp,9,barbarians,0
668,ddp,9,illiterate,9
669,ddp,9,moron,0
670,ddp,9,bozo,3
671,ddp,9,muggins,8
672,ddp,9,dope,0
673,ddp,9,subnormal,3
674,ddp,9,blockhead,7
675,ddp,9,trash,2
676,ddp,9,barbarism,3
677,ddp,9,fool,0
678,ddp,9,stupes,8
679,ddp,9,quack,3
680,ddp,9,oaf,0
681,ddp,9,cretin,3
682,ddp,9,besot,9
683,ddp,9,credulous,3
684,ddp,9,viciousness,3
685,ddp,9,cocksucker,3
686,ddp,9,folly,7
687,ddp,9,uncultured,3
688,ddp,9,artless,3
689,ddp,9,mothafucka,9
690,ddp,9,betise,3
691,ddp,9,unintelligent,8
692,ddp,9,curmudgeon,3
693,ddp,9,retardation,9
694,ddp,9,fuckup,2
695,ddp,9,dummy,0
696,ddp,9,simple,3
697,ddp,9,nincompoop,8
698,ddp,9,charlatan,3
699,ddp,9,imbeciles,3
700,ddp,9,idiots,0
701,ddp,9,innocent,5
702,ddp,9,dolt,0
703,ddp,9,adolescent,3
704,ddp,9,prisoner,3
705,ddp,9,brutal,9
706,ddp,9,obtuse,3
707,ddp,9,gossip,3
708,ddp,9,idiotic,0
709,ddp,9,ignorant,9
710,ddp,9,lunkhead,7
711,ddp,9,fooled,3
712,ddp,9,twat,7
713,ddp,9,witless,9
714,ddp,9,sap,3
715,ddp,9,nitwit,0
716,ddp,9,captive,3
717,ddp,9,barbarian,0
718,ddp,9,telltale,3
719,ddp,9,stupidhead,3
720,ddp,9,ragtag,2
721,ddp,9,retard,0
722,ddp,9,betrayer,0
723,ddp,9,booby,0
724,ddp,9,quacks,3
725,ddp,9,asshole,9
726,ddp,9,nonsence,9
727,ddp,9,putz,0
728,ddp,9,stupefy,9
729,ddp,9,sob,3
730,ddp,9,mark,7
731,ddp,9,dense,3
732,ddp,9,prater,0
733,ddp,9,lout,0
734,ddp,9,twirp,8
735,ddp,9,shithead,7
736,ddp,9,doofus,0
737,ddp,9,fathead,9
738,ddp,9,quackery,3
739,ddp,9,motherfucker,3
740,ddp,9,animal,3
741,ddp,9,incompetent,9
742,ddf,10,slimy,3
743,ddf,10,unworthy,3
744,ddf,10,malformed,3
745,ddf,10,halting,2
746,ddf,10,monocular,0
747,ddf,10,humpback,8
748,ddf,10,unsightly,3
749,ddf,10,handicap,3
750,ddf,10,ugly,3
751,ddf,10,peewee,3
752,ddf,10,halt,3
753,ddf,10,cripple,3
754,ddf,10,midget,1
755,ddf,10,gimpy,3
756,ddf,10,handicapped,3
