,label,target,words,ud_precitions
0,ps,0,changeling,3
1,ps,0,nigga,0
2,ps,0,cross-breed,3
3,ps,0,bum,2
4,ps,0,crossbred,3
5,ps,0,cretin,3
6,ps,0,jigaboo,0
7,ps,0,crossbreed,3
8,ps,0,boor,9
9,ps,0,livid,3
10,ps,0,white,0
11,ps,0,yahood,0
12,ps,0,asian,0
13,ps,0,krauthead,8
14,ps,0,mongoloid,9
15,ps,0,pikey,3
16,ps,0,negress,0
17,ps,0,mark,7
18,ps,0,jewess,0
19,ps,0,niggiz,0
20,ps,0,half-breed,0
21,ps,0,judaism,0
22,ps,0,idiot,7
23,ps,0,jewry,0
24,ps,0,zulus,3
25,ps,0,simple,3
26,ps,0,juden,0
27,ps,0,rom,3
28,ps,0,nikker,0
29,ps,0,judiasm,0
30,ps,0,krauts,0
31,ps,0,negro,0
32,ps,0,fascist,3
33,ps,0,ladino,0
34,ps,0,stupidhead,3
35,ps,0,barbarian,0
36,ps,0,moronic,3
37,ps,0,bulgarians,3
38,ps,0,halfcast,0
39,ps,0,hybrid,3
40,ps,0,gascon,3
41,ps,0,unfortunate,4
42,ps,0,gipsy,0
43,ps,0,lubber,9
44,ps,0,eejit,7
45,ps,0,mongol,0
46,ps,0,savage,0
47,ps,0,idiocies,3
48,ps,0,africoid,0
49,ps,0,pikie,8
50,ps,0,clod,9
51,ps,0,patsy,3
52,ps,0,chinese,0
53,ps,0,judism,0
54,ps,0,chump,8
55,om,1,buttfucker,1
56,om,1,crossdressing,1
57,om,1,fag,1
58,om,1,ghey,1
59,om,1,hiney,1
60,om,1,buns,1
61,om,1,queerness,1
62,om,1,bum,2
63,om,1,buttsex,1
64,om,1,fudgepacking,1
65,om,1,homophilic,1
66,om,1,faggot,1
67,om,1,homophile,1
68,om,1,namby-pamby,3
69,om,1,pederast,1
70,om,1,homosexuals,1
71,om,1,fagot,1
72,om,1,bumsecks,8
73,om,1,faggoty,1
74,om,1,buttucks,3
75,om,1,pidor,0
76,om,1,gentlewoman,3
77,om,1,gayest,1
78,om,1,buttock,1
79,om,1,donkey,9
80,om,1,asscheeks,1
81,om,1,different,3
82,om,1,fairy,3
83,om,1,madam,3
84,om,1,shirtlifter,1
85,om,1,assfucking,1
86,om,1,butsecks,1
87,om,1,anomalous,3
88,om,1,homophilia,1
89,om,1,buttfucking,1
90,om,1,queers,1
91,om,1,sodomized,5
92,om,1,queen,6
93,om,1,poofta,1
94,om,1,sodomization,3
95,om,1,transvestitism,3
96,om,1,behind,3
97,om,1,ladies,3
98,om,1,derriere,1
99,om,1,pederasts,3
100,qas,2,kitschy,3
101,qas,2,trading,3
102,qas,2,agriculturalists,3
103,qas,2,dealer,5
104,qas,2,untruth,3
105,qas,2,mishandle,3
106,qas,2,bollocks,2
107,qas,2,rhetorician,3
108,qas,2,conformists,3
109,qas,2,bolox,8
110,qas,2,grandiosity,3
111,qas,2,bargainer,3
112,qas,2,tramp,0
113,qas,2,housekeeping,3
114,qas,2,bloomer,3
115,qas,2,ruralist,3
116,qas,2,dullard,3
117,qas,2,bind,3
118,qas,2,power,3
119,qas,2,father,3
120,qas,2,habitual,3
121,qas,2,taradiddle,3
122,qas,2,common,3
123,qas,2,townfolk,3
124,qas,2,bedevil,5
125,qas,2,flub,2
126,qas,2,shopkeep,3
127,qas,2,barbarous,0
128,qas,2,barberian,0
129,qas,2,businesswomen,3
130,qas,2,painting,3
131,qas,2,spoil,3
132,qas,2,hut,8
133,qas,2,refuse,3
134,qas,2,dabbler,3
135,qas,2,hokey,3
136,qas,2,king,3
137,qas,2,insane,9
138,qas,2,pitiful,4
139,qas,2,snoop,3
140,qas,2,welter,3
141,qas,2,boo-boo,3
142,qas,2,melodramatic,3
143,qas,2,mishmash,3
144,qas,2,trader,3
145,qas,2,shanty,3
146,qas,2,tagalong,3
147,qas,2,mushy,8
148,qas,2,peasant,0
149,qas,2,bourgeoise,3
150,qas,2,pratfall,3
151,qas,2,commoners,3
152,qas,2,balls,8
153,qas,2,businessman,3
154,qas,2,ball,8
155,qas,2,parochial,4
156,qas,2,moocher,3
157,qas,2,industrialists,3
158,qas,2,testical,8
159,qas,2,farmer,2
160,qas,2,hapless,4
161,qas,2,fumble,9
162,qas,2,rout,3
163,qas,2,dissembler,3
164,qas,2,bobble,3
165,qas,2,miserable,4
166,qas,2,fuckup,2
167,qas,2,prevarication,3
168,qas,2,melange,3
169,qas,2,parishes,3
170,qas,2,parish,3
171,qas,2,mixtures,3
172,qas,2,caste,3
173,qas,2,frantic,2
174,qas,2,culled,3
175,qas,2,rabble,2
176,qas,2,hovel,3
177,qas,2,mediaeval,3
178,qas,2,mawkish,3
179,qas,2,soupy,3
180,qas,2,piteous,3
181,qas,2,snooper,3
182,qas,2,mob,2
183,qas,2,hutch,3
184,qas,2,kennels,8
185,qas,2,troubler,3
186,qas,2,riffraff,3
187,qas,2,rhetorical,3
188,qas,2,ballock,8
189,qas,2,agrarian,3
190,qas,2,boor,9
191,qas,2,dilettante,2
192,qas,2,stumbler,3
193,qas,2,barons,3
194,qas,2,ballix,8
195,qas,2,bungle,2
196,qas,2,conformity,3
197,qas,2,troublemaker,3
198,cds,3,nerdiness,3
199,cds,3,mongrel,0
200,cds,3,pimpet,3
201,cds,3,zealotry,3
202,cds,3,conspiratard,3
203,cds,3,pedants,3
204,cds,3,nymphomaniacs,3
205,cds,3,nymphomaniac,3
206,cds,3,papparazi,3
207,cds,3,sheik,3
208,cds,3,chump,8
209,cds,3,rapscallion,3
210,cds,3,mass,3
211,cds,3,boaster,3
212,cds,3,rookie,8
213,cds,3,barbarian,0
214,cds,3,villainous,4
215,cds,3,fundamentalists,3
216,cds,3,masses,3
217,cds,3,gang,3
218,cds,3,ringleader,3
219,cds,3,schoolmarm,3
220,cds,3,dudett,8
221,cds,3,lav,3
222,cds,3,smatter,3
223,cds,3,tattle,3
224,cds,3,henchmen,3
225,cds,3,superciliousness,3
226,cds,3,craven,3
227,cds,3,babe,8
228,cds,3,blather,9
229,cds,3,clansmen,3
230,cds,3,officer,3
231,cds,3,people,3
232,cds,3,infants,3
233,cds,3,dogmatism,3
234,cds,3,freshness,3
235,cds,3,scalawag,3
236,cds,3,usurer,3
237,cds,3,reactionary,3
238,cds,3,chiseler,3
239,cds,3,greenhorn,3
240,cds,3,fundamentalist,3
241,cds,3,rascal,3
242,cds,3,religism,3
243,cds,3,problem,3
244,cds,3,blunder,2
245,cds,3,superbia,3
246,cds,3,tattler,9
247,cds,3,teaser,3
248,cds,3,fops,3
249,cds,3,ostentatiousness,3
250,cds,3,illicit,3
251,cds,3,fascists,3
252,cds,3,swinish,3
253,cds,3,reprobate,3
254,cds,3,culled,3
255,cds,3,wily,3
256,cds,3,slacking,3
257,cds,3,gallant,3
258,cds,3,whoremonger,3
259,cds,3,mess,2
260,cds,3,scamp,3
261,cds,3,blooper,2
262,cds,3,beau,3
263,cds,3,robber,5
264,cds,3,sinner,3
265,cds,3,blabber,9
266,cds,3,bookworm,3
267,cds,3,arrogance,3
268,cds,3,outlawed,5
269,cds,3,clan,3
270,cds,3,gobble,3
271,cds,3,narcisist,3
272,cds,3,masonic,3
273,cds,3,procuress,3
274,cds,3,grifter,3
275,cds,3,poltroon,3
276,cds,3,hellion,3
277,cds,3,idoit,0
278,cds,3,lawlessness,3
279,cds,3,churl,0
280,cds,3,agent,3
281,cds,3,guileful,3
282,cds,3,multitude,3
283,cds,3,cloaca,8
284,cds,3,bumpkin,3
285,cds,3,fascistic,3
286,cds,3,oafish,9
287,cds,3,intrigue,3
288,cds,3,gangster,3
289,cds,3,boss,3
290,cds,3,bunghole,9
291,cds,3,pup,3
292,cds,3,mafiosa,5
293,cds,3,sass,3
294,cds,3,movement,3
295,cds,3,piles,3
296,cds,3,pimp,3
297,cds,3,slyness,3
298,cds,3,carrion,3
299,cds,3,eavesdrop,3
300,cds,3,screw,8
301,cds,3,reject,2
302,cds,3,conspire,3
303,cds,3,tribal,3
304,cds,3,rabble,2
305,cds,3,privy,3
306,cds,3,purchasable,3
307,cds,3,telltale,3
308,cds,3,simpleton,0
309,cds,3,scratch,3
310,cds,3,procrasturbation,3
311,cds,3,prohibited,3
312,cds,3,crossings,0
313,cds,3,burglar,5
314,cds,3,boorish,3
315,cds,3,savvy,3
316,cds,3,chatter,9
317,cds,3,fop,3
318,cds,3,mark,7
319,cds,3,sewer,3
320,cds,3,conformist,2
321,cds,3,git,3
322,cds,3,scribble,3
323,cds,3,intermediary,3
324,cds,3,raven,3
325,cds,3,loo,3
326,cds,3,egghead,3
327,cds,3,gelopy,8
328,cds,3,culchies,3
329,cds,3,slacked,3
330,cds,3,hodgepodge,2
331,cds,3,fool,0
332,cds,3,oodles,3
333,cds,3,egotism,3
334,cds,3,simple,3
335,cds,3,facsism,3
336,cds,3,hybris,3
337,cds,3,paparazzi,3
338,cds,3,train,3
339,cds,3,copper,8
340,cds,3,heel,3
341,cds,3,cosanostra,3
342,cds,3,bumbler,2
343,cds,3,thefts,5
344,cds,3,miscreants,4
345,cds,3,bloomer,3
346,cds,3,babby,3
347,cds,3,facist,3
348,cds,3,moronism,0
349,cds,3,disorder,3
350,cds,3,chaos,3
351,cds,3,idiocity,0
352,cds,3,idiot,7
353,cds,3,gorge,8
354,cds,3,eejit,7
355,cds,3,paparazi,3
356,cds,3,propagandist,3
357,cds,3,junto,3
358,cds,3,rat,3
359,cds,3,stealer,5
360,cds,3,pimper,3
361,cds,3,snooper,3
362,cds,3,bastard,3
363,cds,3,venal,3
364,cds,3,carion,8
365,cds,3,madams,3
366,cds,3,putz,0
367,cds,3,skunk,3
368,cds,3,homunculus,3
369,cds,3,policeman,3
370,cds,3,hustler,6
371,cds,3,sly,3
372,cds,3,applesauce,7
373,cds,3,asshole,9
374,cds,3,prankishness,3
375,cds,3,cockup,9
376,cds,3,ostentation,3
377,cds,3,supercilious,3
378,cds,3,buttery,8
379,cds,3,hijacker,3
380,cds,3,pedantic,3
381,cds,3,filcher,5
382,cds,3,donnish,3
383,cds,3,bind,3
384,cds,3,dishonest,3
385,cds,3,tomfool,7
386,cds,3,weakling,3
387,cds,3,blether,3
388,cds,3,enthusiast,3
389,cds,3,squawker,3
390,cds,3,narcissism,3
391,cds,3,astuteness,3
392,cds,3,rubbish,2
393,cds,3,mothafucka,3
394,cds,3,bandits,3
395,cds,3,tike,0
396,cds,3,cattiness,3
397,cds,3,wank,8
398,cds,3,filth,3
399,cds,3,restrooms,3
400,cds,3,villians,4
401,cds,3,prick,8
402,cds,3,motherfucka,9
403,cds,3,superficiality,3
404,cds,3,stand-up,3
405,cds,3,offender,9
406,cds,3,puppy,3
407,cds,3,policemen,3
408,cds,3,dudette,3
409,cds,3,highwaymen,3
410,cds,3,gossiper,9
411,cds,3,conspirology,3
412,cds,3,teachers,3
413,cds,3,pimped,3
414,cds,3,thiefing,3
415,cds,3,gangs,3
416,cds,3,doormat,3
417,cds,3,loafer,3
418,cds,3,lowlife,3
419,cds,3,joker,3
420,cds,3,highjacker,3
421,cds,3,neanderthal,9
422,cds,3,bull,3
423,cds,3,rout,3
424,cds,3,slug,3
425,cds,3,schoolteachers,3
426,cds,3,conceit,3
427,cds,3,elan,3
428,cds,3,incriminate,5
429,cds,3,varlet,5
430,cds,3,freemasons,3
431,cds,3,croak,3
432,cds,3,falsehood,2
433,cds,3,wuss,3
434,cds,3,crust,3
435,cds,3,hustling,3
436,cds,3,tyke,0
437,cds,3,meddler,3
438,cds,3,stupid,3
439,cds,3,fibster,2
440,cds,3,mafias,3
441,cds,3,blerd,3
442,cds,3,hitlerism,3
443,cds,3,inflation,3
444,cds,3,egoism,3
445,cds,3,ardor,3
446,cds,3,overweening,3
447,cds,3,stuck-up,3
448,cds,3,muddle,2
449,cds,3,clannish,3
450,cds,3,mischievous,3
451,cds,3,buffoonery,3
452,cds,3,falsities,2
453,cds,3,pig,3
454,cds,3,timeserver,3
455,cds,3,fuzz,3
456,cds,3,moaner,3
457,cds,3,highwayman,3
458,cds,3,ragbag,2
459,cds,3,shopworn,3
460,cds,3,scallywag,3
461,cds,3,grungers,3
462,cds,3,dirt,3
463,cds,3,comment,3
464,cds,3,gouger,3
465,cds,3,plotter,3
466,cds,3,arse,1
467,cds,3,botcher,2
468,cds,3,scads,3
469,cds,3,wrongdoer,5
470,cds,3,thievery,5
471,cds,3,quaintrelle,3
472,cds,3,pandar,3
473,cds,3,jailer,3
474,cds,3,duffer,3
475,cds,3,harasser,3
476,cds,3,latrine,3
477,cds,3,eggheads,3
478,cds,3,procuring,3
479,cds,3,cowardice,3
480,cds,3,zeal,3
481,cds,3,usury,3
482,cds,3,persnickety,3
483,cds,3,gossip,3
484,cds,3,finagler,3
485,cds,3,twaddle,9
486,cds,3,homonculus,3
487,cds,3,exigent,3
488,cds,3,gall,3
489,cds,3,pandering,3
490,cds,3,broker,3
491,cds,3,breeding,0
492,cds,3,cowardly,3
493,cds,3,prevarication,3
494,cds,3,boor,9
495,cds,3,chief,3
496,cds,3,loanshark,3
497,cds,3,scrap,2
498,cds,3,dicker,3
499,cds,3,muggins,8
500,cds,3,bigotry,3
501,cds,3,se,6
502,cds,3,family,8
503,cds,3,crosses,0
504,cds,3,cooyon,0
505,cds,3,barbaric,0
506,cds,3,trumpery,7
507,cds,3,mafiosi,3
508,cds,3,shrewdness,3
509,cds,3,riffraff,3
510,cds,3,lashings,3
511,cds,3,stealers,5
512,cds,3,wonk,3
513,cds,3,maffia,3
514,cds,3,lout,0
515,cds,3,offence,3
516,cds,3,fibber,3
517,cds,3,dweeb,3
518,cds,3,scrawl,3
519,cds,3,gasbag,9
520,cds,3,infantile,9
521,cds,3,ardour,3
522,cds,3,impasse,3
523,cds,3,fanaticism,3
524,cds,3,rumormonger,3
525,cds,3,pressman,8
526,cds,3,crimes,5
527,cds,3,mutt,3
528,cds,3,outlaw,3
529,cds,3,freemasonry,3
530,cds,3,villian,5
531,cds,3,gormandize,3
532,cds,3,outlawing,3
533,cds,3,know-it-all,3
534,cds,3,fundementalist,3
535,cds,3,shysters,3
536,cds,3,omertà,3
537,cds,3,pretentiousness,3
538,cds,3,guile,3
539,cds,3,flock,3
540,cds,3,joke,3
541,cds,3,garbage,2
542,cds,3,ponce,3
543,cds,3,shirker,3
544,cds,3,slackers,3
545,cds,3,pack,3
546,cds,3,bandit,3
547,cds,3,crook,3
548,cds,3,tricksy,3
549,cds,3,pander,3
550,cds,3,scrapped,2
551,cds,3,whiner,3
552,cds,3,demagogic,3
553,cds,3,hack,3
554,cds,3,piffle,9
555,cds,3,dood,8
556,cds,3,wanker,8
557,cds,3,crumb,3
558,cds,3,peasant,0
559,cds,3,besserwisser,3
560,cds,3,barring,3
561,cds,3,dewd,3
562,cds,3,hustles,3
563,cds,3,conk,3
564,cds,3,strikebreaker,3
565,cds,3,faction,3
566,is,4,impoverished,4
567,is,4,wretch,3
568,is,4,meagerly,3
569,is,4,pathetic,2
570,is,4,tatterdemalion,3
571,is,4,castaway,3
572,is,4,poverty,3
573,is,4,beggar,4
574,is,4,niggardliness,3
575,is,4,penurious,3
576,is,4,scrimpy,8
577,is,4,tightwad,3
578,is,4,misfortunate,2
579,is,4,wretched,2
580,is,4,parsimonious,3
581,is,4,pitiable,2
582,is,4,poorly,3
583,is,4,skinflint,3
584,is,4,pariah,3
585,is,4,villian,5
586,is,4,untimely,3
587,is,4,piteous,3
588,is,4,poorest,3
589,is,4,stingy,4
590,is,4,unhappy,3
591,is,4,pray,3
592,is,4,ungenerous,3
593,is,4,penniless,3
594,re,5,slanderous,3
595,re,5,crucify,2
596,re,5,molesting,3
597,re,5,swindler,3
598,re,5,severe,3
599,re,5,filched,3
600,re,5,murderer,5
601,re,5,plagarize,3
602,re,5,murders,5
603,re,5,rogue,3
604,re,5,plagerism,3
605,re,5,theives,3
606,re,5,rambunctious,3
607,re,5,offence,3
608,re,5,defame,3
609,re,5,delinquent,3
610,re,5,libelous,3
611,re,5,murdur,3
612,re,5,heavies,3
613,re,5,calumny,3
614,re,5,moidering,8
615,re,5,abduction,5
616,re,5,infanticide,3
617,re,5,aspersion,3
618,re,5,criminal,3
619,re,5,molestor,5
620,re,5,scalawag,3
621,re,5,slandered,3
622,re,5,captor,3
623,re,5,violent,5
624,re,5,thiefing,3
625,re,5,felony,3
626,re,5,miscreants,4
627,re,5,libellous,3
628,re,5,torturer,3
629,re,5,piracy,3
630,re,5,kill,8
631,re,5,rapists,5
632,re,5,felonious,3
633,re,5,pillage,5
634,re,5,maltreatment,3
635,re,5,extorting,5
636,re,5,terrist,5
637,re,5,assraped,8
638,re,5,outlawing,3
639,re,5,furious,3
640,re,5,slaying,3
641,re,5,swindle,8
642,re,5,fierceness,3
643,re,5,incrimination,3
644,re,5,fury,3
645,re,5,terrorists,5
646,re,5,capturer,3
647,re,5,raped,5
648,re,5,survivor,3
649,re,5,terrorize,5
650,re,5,mafias,3
651,re,5,villan,3
652,re,5,defamatory,3
653,re,5,unauthorized,3
654,re,5,torment,2
655,re,5,molested,5
656,re,5,abstract,3
657,re,5,slayer,3
658,re,5,slanders,3
659,re,5,outlaw,3
660,re,5,rook,3
661,re,5,bag,3
662,re,5,incriminating,3
663,re,5,frustrate,2
664,re,5,kidnappings,5
665,re,5,trafficker,3
666,re,5,blackmail,3
667,re,5,abigeus,3
668,re,5,ordeal,3
669,re,5,lift,8
670,re,5,liquidator,3
671,re,5,mobster,3
672,re,5,criminally,3
673,re,5,crook,3
674,re,5,incriminated,3
675,re,5,terrorist,5
676,re,5,manslayer,3
677,re,5,scammer,3
678,re,5,hard,8
679,re,5,red,3
680,re,5,murther,3
681,re,5,homicide,5
682,re,5,defamation,5
683,re,5,steal,3
684,re,5,larsony,3
685,re,5,murderess,3
686,re,5,villainous,4
687,re,5,kidnappers,3
688,re,5,exacting,3
689,re,5,stoled,3
690,re,5,gangster,3
691,re,5,vilify,3
692,re,5,violance,5
693,re,5,raper,5
694,re,5,plagiarists,3
695,re,5,abuser,5
696,re,5,abuses,5
697,re,5,wild,3
698,pr,6,prostitude,6
699,pr,6,john,3
700,pr,6,sonuvabitch,3
701,pr,6,trollop,6
702,pr,6,prostitute,6
703,pr,6,jade,3
704,pr,6,bitch,8
705,pr,6,tart,6
706,pr,6,hussy,6
707,pr,6,streetwalker,6
708,pr,6,prositution,6
709,pr,6,beeves,3
710,pr,6,strumpet,6
711,pr,6,hoe,6
712,pr,6,hookers,6
713,pr,6,whoremongering,6
714,pr,6,fornicatress,6
715,pr,6,harlot,6
716,pr,6,courtesans,6
717,pr,6,moll,3
718,pr,6,meretrix,3
719,pr,6,socialite,3
720,pr,6,vixen,3
721,pr,6,courtiers,3
722,pr,6,slutz,6
723,pr,6,whore,6
724,pr,6,manwhore,6
725,pr,6,courtesan,6
726,pr,6,quean,6
727,pr,6,sonofabitch,3
728,pr,6,whores,6
729,pr,6,bunkum,3
730,pr,6,crackwhore,6
731,pr,6,sluts,6
732,pr,6,hooking,6
733,pr,6,floosy,6
734,asf,7,stupidhead,3
735,asf,7,muff,2
736,asf,7,idiocy,0
737,asf,7,vagina,7
738,asf,7,mug,0
739,asf,7,sucker,0
740,asf,7,simple,3
741,asf,7,saphead,3
742,asf,7,cunts,7
743,asf,7,doofus,0
744,asf,7,doll,8
745,asf,7,slit,7
746,asf,7,loggerhead,9
747,asf,7,booby,0
748,asf,7,curlies,3
749,asf,7,fool,0
750,asf,7,bonehead,9
751,asf,7,retard,0
752,asf,7,neden,8
753,asf,7,imbecile,0
754,asf,7,knucklehead,9
755,asf,7,chump,8
756,asf,7,pussies,7
757,asf,7,c-word,3
758,asf,7,snatch,5
759,asf,7,imbecility,8
760,asf,7,vajayjay,7
761,asf,7,dummy,0
762,asf,7,dimwit,0
763,asf,7,babe,8
764,asf,7,simpleton,0
765,asf,7,dunderhead,9
766,asf,7,muggins,8
767,asf,7,dame,1
768,asf,7,vaginal,7
769,asm,8,mark,7
770,asm,8,ballock,8
771,asm,8,simpleton,0
772,asm,8,patsy,3
773,asm,8,dick,8
774,asm,8,testes,2
775,asm,8,imbecile,0
776,asm,8,peanis,8
777,asm,8,phallos,3
778,asm,8,brownish,8
779,asm,8,pecker,8
780,asm,8,sucker,0
781,asm,8,dummy,0
782,asm,8,fool,0
783,asm,8,dismissal,3
784,asm,8,shtup,8
785,asm,8,phallic,8
786,asm,8,phallus,8
787,asm,8,shaft,8
788,asm,8,pickle,2
789,asm,8,chanticleer,3
790,asm,8,stupidly,9
791,asm,8,tomfool,7
792,asm,8,victimize,5
793,asm,8,dumbbell,0
794,asm,8,folly,7
795,asm,8,eejit,7
796,asm,8,gip,5
797,asm,8,twit,9
798,asm,8,simple,3
799,asm,8,stupidhead,3
800,asm,8,testis,2
801,asm,8,fuck,8
802,asm,8,effed,3
803,asm,8,effer,8
804,asm,8,con,5
805,asm,8,score,8
806,asm,8,sap,3
807,asm,8,apendage,8
808,asm,8,ray,3
809,asm,8,bonerfied,3
810,asm,8,testicle,2
811,asm,8,ovum,2
812,asm,8,jerk-off,3
813,asm,8,oaf,0
814,asm,8,dolt,0
815,asm,8,penile,8
816,asm,8,screw,8
817,asm,8,stupidness,9
818,asm,8,peter,3
819,asm,8,appendage,8
820,asm,8,fuckiest,3
821,asm,8,dong,8
822,asm,8,jazz,3
823,asm,8,stupider,9
824,asm,8,fucking,8
825,asm,8,pea,8
826,asm,8,mug,0
827,asm,8,fooled,3
828,asm,8,roosting,8
829,asm,8,vaffanculo,3
830,asm,8,phuck,8
831,asm,8,nut,2
832,asm,8,cockerel,8
833,asm,8,retard,0
834,asm,8,screwing,8
835,asm,8,penii,8
836,asm,8,fuckin',8
837,asm,8,penises,8
838,asm,8,fukkit,3
839,asm,8,bed,8
840,asm,8,jeer,3
841,asm,8,dimwit,0
842,asm,8,fuckingly,8
843,asm,8,member,3
844,ddp,9,ashole,8
845,ddp,9,galoot,0
846,ddp,9,barbarians,0
847,ddp,9,unlettered,9
848,ddp,9,illiterate,9
849,ddp,9,moron,0
850,ddp,9,bozo,9
851,ddp,9,muggins,8
852,ddp,9,dope,0
853,ddp,9,subnormal,9
854,ddp,9,blockhead,7
855,ddp,9,mother-fucker,3
856,ddp,9,trash,2
857,ddp,9,barbarism,3
858,ddp,9,fool,0
859,ddp,9,stupes,8
860,ddp,9,quack,3
861,ddp,9,oaf,0
862,ddp,9,cretin,3
863,ddp,9,credulous,3
864,ddp,9,dunderheads,0
865,ddp,9,viciousness,3
866,ddp,9,cocksucker,3
867,ddp,9,folly,7
868,ddp,9,shysters,3
869,ddp,9,uncultured,9
870,ddp,9,artless,3
871,ddp,9,rumormonger,3
872,ddp,9,stumblebum,0
873,ddp,9,assmunch,3
874,ddp,9,fumbler,2
875,ddp,9,mothafucka,3
876,ddp,9,unintelligent,8
877,ddp,9,curmudgeon,3
878,ddp,9,microcephalic,9
879,ddp,9,retardation,9
880,ddp,9,fuckup,2
881,ddp,9,dummy,0
882,ddp,9,empiricism,3
883,ddp,9,simple,3
884,ddp,9,nincompoop,8
885,ddp,9,charlatan,3
886,ddp,9,imbeciles,9
887,ddp,9,idiots,0
888,ddp,9,innocent,3
889,ddp,9,dolt,0
890,ddp,9,adolescent,3
891,ddp,9,prisoner,3
892,ddp,9,brutal,3
893,ddp,9,spouter,3
894,ddp,9,obtuse,9
895,ddp,9,gossip,3
896,ddp,9,idiotic,0
897,ddp,9,ignorant,9
898,ddp,9,lunkhead,7
899,ddp,9,fooled,3
900,ddp,9,twat,7
901,ddp,9,trumpery,7
902,ddp,9,analphabetic,3
903,ddp,9,witless,9
904,ddp,9,sap,3
905,ddp,9,nitwit,0
906,ddp,9,captive,3
907,ddp,9,barbarian,0
908,ddp,9,telltale,3
909,ddp,9,stupidhead,3
910,ddp,9,ragtag,2
911,ddp,9,retard,0
912,ddp,9,betrayer,3
913,ddp,9,idioticness,0
914,ddp,9,idiocies,3
915,ddp,9,booby,0
916,ddp,9,quacks,3
917,ddp,9,asshole,9
918,ddp,9,nonsence,9
919,ddp,9,putz,0
920,ddp,9,stupefy,3
921,ddp,9,sob,3
922,ddp,9,mark,7
923,ddp,9,dense,9
924,ddp,9,prater,3
925,ddp,9,lout,0
926,ddp,9,twirp,8
927,ddp,9,shithead,7
928,ddp,9,quacksalver,3
929,ddp,9,stumbler,3
930,ddp,9,doofus,0
931,ddp,9,lummox,0
932,ddp,9,fathead,9
933,ddp,9,quackery,3
934,ddp,9,motherfucker,3
935,ddp,9,animal,3
936,ddp,9,moronity,9
937,ddp,9,incompetent,9
938,ddf,10,slimy,3
939,ddf,10,unworthy,3
940,ddf,10,malformed,9
941,ddf,10,halting,3
942,ddf,10,monocular,3
943,ddf,10,humpback,3
944,ddf,10,unsightly,3
945,ddf,10,handicap,10
946,ddf,10,invalidity,3
947,ddf,10,ugly,3
948,ddf,10,peewee,3
949,ddf,10,halt,3
950,ddf,10,cripple,10
951,ddf,10,midget,1
952,ddf,10,gimpy,3
953,ddf,10,handicapped,10
