,label,target,words,w2v_precitions
0,ps,0,changeling,3
1,ps,0,nigga,3
2,ps,0,bum,2
3,ps,0,crossbred,3
4,ps,0,cretin,3
5,ps,0,crossbreed,3
6,ps,0,boor,9
7,ps,0,livid,3
8,ps,0,white,0
9,ps,0,asian,0
10,ps,0,mongoloid,9
11,ps,0,pikey,3
12,ps,0,mark,7
13,ps,0,judaism,1
14,ps,0,idiot,7
15,ps,0,mestizaje,3
16,ps,0,simple,3
17,ps,0,rom,3
18,ps,0,churls,3
19,ps,0,krauts,9
20,ps,0,negro,0
21,ps,0,fascist,3
22,ps,0,ladino,0
23,ps,0,barbarian,0
24,ps,0,moronic,3
25,ps,0,hybrid,3
26,ps,0,unfortunate,4
27,ps,0,gipsy,0
28,ps,0,lubber,9
29,ps,0,hybridizer,3
30,ps,0,eejit,7
31,ps,0,savage,0
32,ps,0,idiocies,3
33,ps,0,clod,9
34,ps,0,patsy,3
35,ps,0,chinese,0
36,ps,0,chump,8
37,om,1,crossdressing,1
38,om,1,fag,1
39,om,1,hiney,9
40,om,1,buns,6
41,om,1,queerness,1
42,om,1,bum,2
43,om,1,homophile,1
44,om,1,pederast,3
45,om,1,homosexuals,1
46,om,1,fagot,1
47,om,1,gentlewoman,3
48,om,1,gayest,1
49,om,1,buttock,1
50,om,1,donkey,3
51,om,1,different,3
52,om,1,fairy,8
53,om,1,madam,6
54,om,1,anomalous,1
55,om,1,queers,1
56,om,1,sodomized,5
57,om,1,queen,6
58,om,1,transvestitism,3
59,om,1,contralateral,1
60,om,1,behind,3
61,om,1,ladies,6
62,om,1,derriere,1
63,om,1,pederasts,6
64,qas,2,kitschy,3
65,qas,2,trading,3
66,qas,2,agriculturalists,0
67,qas,2,dealer,3
68,qas,2,untruth,3
69,qas,2,mishandle,3
70,qas,2,bollocks,2
71,qas,2,rhetorician,3
72,qas,2,conformists,3
73,qas,2,grandiosity,3
74,qas,2,bargainer,3
75,qas,2,tramp,0
76,qas,2,housekeeping,3
77,qas,2,bloomer,3
78,qas,2,dullard,3
79,qas,2,ectoparasites,3
80,qas,2,bind,5
81,qas,2,power,3
82,qas,2,father,3
83,qas,2,habitual,3
84,qas,2,common,3
85,qas,2,townfolk,3
86,qas,2,bedevil,5
87,qas,2,flub,2
88,qas,2,barbarous,0
89,qas,2,businesswomen,3
90,qas,2,painting,2
91,qas,2,prevarications,3
92,qas,2,spoil,8
93,qas,2,rhetoricians,3
94,qas,2,hut,3
95,qas,2,refuse,3
96,qas,2,dabbler,9
97,qas,2,hokey,3
98,qas,2,king,8
99,qas,2,insane,9
100,qas,2,pitiful,4
101,qas,2,snoop,3
102,qas,2,parasitized,1
103,qas,2,welter,3
104,qas,2,melodramatic,3
105,qas,2,mishmash,3
106,qas,2,trader,3
107,qas,2,shanty,3
108,qas,2,tagalong,9
109,qas,2,mushy,2
110,qas,2,peasant,0
111,qas,2,dilettantish,3
112,qas,2,bourgeoise,3
113,qas,2,pratfall,3
114,qas,2,commoners,2
115,qas,2,balls,8
116,qas,2,businessman,2
117,qas,2,ball,8
118,qas,2,parochial,4
119,qas,2,moocher,8
120,qas,2,industrialists,2
121,qas,2,farmer,2
122,qas,2,hapless,4
123,qas,2,fumble,3
124,qas,2,rout,3
125,qas,2,dissembler,3
126,qas,2,bobble,9
127,qas,2,churls,3
128,qas,2,miserable,4
129,qas,2,fuckup,2
130,qas,2,prevarication,3
131,qas,2,melange,3
132,qas,2,parishes,3
133,qas,2,parish,3
134,qas,2,mixtures,2
135,qas,2,caste,2
136,qas,2,prevaricated,3
137,qas,2,frantic,2
138,qas,2,culled,3
139,qas,2,rabble,2
140,qas,2,hovel,6
141,qas,2,mediaeval,2
142,qas,2,mawkish,2
143,qas,2,soupy,2
144,qas,2,piteous,3
145,qas,2,snooper,9
146,qas,2,mob,2
147,qas,2,feudalistic,3
148,qas,2,hutch,3
149,qas,2,kennels,3
150,qas,2,riffraff,3
151,qas,2,rhetorical,2
152,qas,2,agrarian,2
153,qas,2,boor,9
154,qas,2,dilettante,2
155,qas,2,stumbler,3
156,qas,2,barons,2
157,qas,2,bungle,2
158,qas,2,conformity,2
159,qas,2,troublemaker,9
160,cds,3,nerdiness,3
161,cds,3,mongrel,3
162,cds,3,zealotry,3
163,cds,3,pedants,3
164,cds,3,nymphomaniacs,6
165,cds,3,nymphomaniac,6
166,cds,3,papparazi,3
167,cds,3,sheik,0
168,cds,3,chump,8
169,cds,3,rapscallion,3
170,cds,3,mass,3
171,cds,3,boaster,3
172,cds,3,incriminates,3
173,cds,3,rookie,3
174,cds,3,barbarian,0
175,cds,3,pietism,3
176,cds,3,villainous,4
177,cds,3,fundamentalists,3
178,cds,3,outlawry,5
179,cds,3,masses,3
180,cds,3,gang,3
181,cds,3,ringleader,3
182,cds,3,schoolmarm,3
183,cds,3,lav,8
184,cds,3,dissembled,2
185,cds,3,smatter,3
186,cds,3,tattle,3
187,cds,3,henchmen,3
188,cds,3,superciliousness,3
189,cds,3,craven,3
190,cds,3,babe,3
191,cds,3,blather,9
192,cds,3,clansmen,3
193,cds,3,officer,3
194,cds,3,people,3
195,cds,3,infants,3
196,cds,3,dogmatism,3
197,cds,3,freshness,3
198,cds,3,parvenus,3
199,cds,3,scalawag,3
200,cds,3,usurer,3
201,cds,3,reactionary,3
202,cds,3,chiseler,3
203,cds,3,greenhorn,3
204,cds,3,fundamentalist,3
205,cds,3,rascal,3
206,cds,3,problem,5
207,cds,3,blunder,2
208,cds,3,bluestocking,3
209,cds,3,unlawfulness,5
210,cds,3,tribeswomen,0
211,cds,3,tattler,9
212,cds,3,complacence,3
213,cds,3,teaser,0
214,cds,3,fops,3
215,cds,3,ostentatiousness,3
216,cds,3,illicit,5
217,cds,3,fascists,3
218,cds,3,swinish,3
219,cds,3,reprobate,3
220,cds,3,culled,3
221,cds,3,wily,3
222,cds,3,slacking,3
223,cds,3,gallant,3
224,cds,3,whoremonger,3
225,cds,3,mess,2
226,cds,3,scamp,3
227,cds,3,blooper,2
228,cds,3,beau,6
229,cds,3,robber,5
230,cds,3,sinner,3
231,cds,3,blabber,9
232,cds,3,schoolmarms,3
233,cds,3,bookworm,3
234,cds,3,arrogance,3
235,cds,3,outlawed,5
236,cds,3,clan,3
237,cds,3,gobble,3
238,cds,3,masonic,3
239,cds,3,grifter,3
240,cds,3,poltroon,3
241,cds,3,hellion,6
242,cds,3,lawlessness,5
243,cds,3,churl,0
244,cds,3,agent,3
245,cds,3,guileful,3
246,cds,3,multitude,3
247,cds,3,cloaca,1
248,cds,3,bumpkin,3
249,cds,3,fascistic,3
250,cds,3,oafish,3
251,cds,3,intrigue,5
252,cds,3,gangster,3
253,cds,3,boss,3
254,cds,3,bunghole,9
255,cds,3,pup,3
256,cds,3,sass,3
257,cds,3,movement,1
258,cds,3,piles,3
259,cds,3,pimp,6
260,cds,3,slyness,3
261,cds,3,carrion,3
262,cds,3,eavesdrop,3
263,cds,3,screw,8
264,cds,3,reject,2
265,cds,3,conspire,3
266,cds,3,tribal,3
267,cds,3,rabble,2
268,cds,3,privy,3
269,cds,3,purchasable,3
270,cds,3,telltale,0
271,cds,3,simpleton,0
272,cds,3,scratch,3
273,cds,3,prohibited,3
274,cds,3,crossings,0
275,cds,3,burglar,5
276,cds,3,prevaricated,3
277,cds,3,boorish,3
278,cds,3,savvy,3
279,cds,3,chatter,3
280,cds,3,fop,3
281,cds,3,mark,7
282,cds,3,barbarically,0
283,cds,3,sewer,3
284,cds,3,conformist,2
285,cds,3,git,9
286,cds,3,scribble,3
287,cds,3,intermediary,3
288,cds,3,raven,8
289,cds,3,loo,8
290,cds,3,roguishness,3
291,cds,3,egghead,9
292,cds,3,slacked,8
293,cds,3,hodgepodge,2
294,cds,3,fool,0
295,cds,3,oodles,3
296,cds,3,egotism,3
297,cds,3,simple,3
298,cds,3,hybris,3
299,cds,3,paparazzi,3
300,cds,3,balladeer,3
301,cds,3,train,3
302,cds,3,copper,3
303,cds,3,heel,1
304,cds,3,bumbler,2
305,cds,3,thefts,5
306,cds,3,miscreants,4
307,cds,3,bloomer,3
308,cds,3,babby,0
309,cds,3,facist,3
310,cds,3,disorder,1
311,cds,3,chaos,3
312,cds,3,idiot,7
313,cds,3,gorge,3
314,cds,3,eejit,7
315,cds,3,propagandist,3
316,cds,3,junto,3
317,cds,3,rat,3
318,cds,3,stealer,5
319,cds,3,snooper,9
320,cds,3,bastard,3
321,cds,3,dissembles,2
322,cds,3,venal,3
323,cds,3,madams,3
324,cds,3,putz,0
325,cds,3,skunk,3
326,cds,3,homunculus,3
327,cds,3,policeman,3
328,cds,3,hustler,6
329,cds,3,sly,3
330,cds,3,applesauce,7
331,cds,3,asshole,9
332,cds,3,cockup,3
333,cds,3,ostentation,3
334,cds,3,supercilious,3
335,cds,3,buttery,3
336,cds,3,hijacker,5
337,cds,3,pedantic,3
338,cds,3,donnish,3
339,cds,3,beguine,3
340,cds,3,bind,5
341,cds,3,dishonest,3
342,cds,3,weakling,3
343,cds,3,blether,3
344,cds,3,enthusiast,3
345,cds,3,narcissism,3
346,cds,3,astuteness,3
347,cds,3,rubbish,2
348,cds,3,bandits,3
349,cds,3,tike,0
350,cds,3,cattiness,6
351,cds,3,wank,8
352,cds,3,filth,6
353,cds,3,restrooms,3
354,cds,3,villians,4
355,cds,3,prick,8
356,cds,3,superficiality,3
357,cds,3,offender,5
358,cds,3,puppy,9
359,cds,3,policemen,3
360,cds,3,dudette,9
361,cds,3,highwaymen,3
362,cds,3,gossiper,9
363,cds,3,teachers,3
364,cds,3,pimped,3
365,cds,3,gangs,3
366,cds,3,doormat,3
367,cds,3,loafer,3
368,cds,3,lowlife,3
369,cds,3,joker,3
370,cds,3,neanderthal,3
371,cds,3,bull,9
372,cds,3,rout,3
373,cds,3,dissemblers,2
374,cds,3,slug,3
375,cds,3,nerveless,3
376,cds,3,schoolteachers,3
377,cds,3,conceit,3
378,cds,3,elan,3
379,cds,3,incriminate,5
380,cds,3,freemasons,3
381,cds,3,croak,3
382,cds,3,falsehood,2
383,cds,3,wuss,3
384,cds,3,crust,8
385,cds,3,hustling,3
386,cds,3,tyke,0
387,cds,3,meddler,3
388,cds,3,stupid,3
389,cds,3,mafias,3
390,cds,3,inflation,3
391,cds,3,egoism,3
392,cds,3,ardor,3
393,cds,3,overweening,3
394,cds,3,muddle,2
395,cds,3,clannish,3
396,cds,3,mischievous,3
397,cds,3,buffoonery,8
398,cds,3,falsities,2
399,cds,3,pig,3
400,cds,3,fuzz,3
401,cds,3,moaner,9
402,cds,3,highwayman,3
403,cds,3,ragbag,2
404,cds,3,shopworn,3
405,cds,3,scallywag,3
406,cds,3,grungers,3
407,cds,3,dirt,3
408,cds,3,comment,3
409,cds,3,kinsfolk,3
410,cds,3,gouger,3
411,cds,3,plotter,3
412,cds,3,scads,3
413,cds,3,wrongdoer,5
414,cds,3,thievery,5
415,cds,3,jailer,3
416,cds,3,duffer,3
417,cds,3,harasser,9
418,cds,3,latrine,3
419,cds,3,eggheads,3
420,cds,3,hybridizer,3
421,cds,3,procuring,3
422,cds,3,cowardice,3
423,cds,3,zeal,3
424,cds,3,usury,3
425,cds,3,persnickety,3
426,cds,3,gossip,3
427,cds,3,twaddle,9
428,cds,3,exigent,3
429,cds,3,gall,3
430,cds,3,moneylenders,3
431,cds,3,pandering,3
432,cds,3,broker,3
433,cds,3,breeding,0
434,cds,3,cowardly,3
435,cds,3,prevarication,3
436,cds,3,boor,9
437,cds,3,sermonise,3
438,cds,3,chief,3
439,cds,3,loanshark,3
440,cds,3,superciliously,3
441,cds,3,scrap,2
442,cds,3,dicker,3
443,cds,3,muggins,8
444,cds,3,bigotry,3
445,cds,3,se,3
446,cds,3,family,3
447,cds,3,crosses,0
448,cds,3,barbaric,0
449,cds,3,trumpery,7
450,cds,3,mafiosi,3
451,cds,3,shrewdness,3
452,cds,3,riffraff,3
453,cds,3,lashings,3
454,cds,3,stealers,5
455,cds,3,wonk,3
456,cds,3,venality,3
457,cds,3,lout,0
458,cds,3,fibber,3
459,cds,3,dweeb,3
460,cds,3,scrawl,3
461,cds,3,scientistic,3
462,cds,3,gasbag,9
463,cds,3,infantile,9
464,cds,3,impasse,3
465,cds,3,fanaticism,3
466,cds,3,rumormonger,3
467,cds,3,pressman,3
468,cds,3,crimes,5
469,cds,3,mutt,3
470,cds,3,outlaw,3
471,cds,3,freemasonry,3
472,cds,3,villian,5
473,cds,3,intriguer,3
474,cds,3,outlawing,3
475,cds,3,shysters,3
476,cds,3,omertà,3
477,cds,3,pretentiousness,3
478,cds,3,guile,3
479,cds,3,flock,3
480,cds,3,complot,3
481,cds,3,joke,9
482,cds,3,timeworn,3
483,cds,3,garbage,2
484,cds,3,ponce,3
485,cds,3,shirker,3
486,cds,3,slackers,3
487,cds,3,pack,3
488,cds,3,bandit,3
489,cds,3,crook,3
490,cds,3,tricksy,3
491,cds,3,pander,3
492,cds,3,scrapped,2
493,cds,3,whiner,3
494,cds,3,demagogic,3
495,cds,3,hack,8
496,cds,3,piffle,9
497,cds,3,dood,9
498,cds,3,wanker,8
499,cds,3,crumb,8
500,cds,3,peasant,0
501,cds,3,barring,3
502,cds,3,hustles,3
503,cds,3,conk,8
504,cds,3,strikebreaker,3
505,cds,3,faction,3
506,is,4,impoverished,3
507,is,4,wretch,3
508,is,4,meagerly,5
509,is,4,pathetic,2
510,is,4,castaway,3
511,is,4,poverty,4
512,is,4,beggar,4
513,is,4,penurious,3
514,is,4,tightwad,3
515,is,4,misfortunate,2
516,is,4,wretched,2
517,is,4,parsimonious,3
518,is,4,pitiable,2
519,is,4,poorly,8
520,is,4,skinflint,3
521,is,4,pariah,3
522,is,4,villian,5
523,is,4,untimely,3
524,is,4,piteous,3
525,is,4,poorest,4
526,is,4,miserliness,3
527,is,4,stingy,4
528,is,4,unhappy,3
529,is,4,pray,8
530,is,4,unintegrated,3
531,is,4,ungenerous,3
532,is,4,penniless,6
533,is,4,impoverishing,3
534,re,5,slanderous,5
535,re,5,crucify,2
536,re,5,filches,3
537,re,5,molesting,5
538,re,5,swindler,3
539,re,5,severe,3
540,re,5,filched,3
541,re,5,murderer,5
542,re,5,murders,5
543,re,5,rogue,3
544,re,5,theives,3
545,re,5,rambunctious,3
546,re,5,slanderers,3
547,re,5,defame,5
548,re,5,delinquent,3
549,re,5,libelous,5
550,re,5,vilifications,3
551,re,5,heavies,3
552,re,5,calumny,5
553,re,5,abduction,5
554,re,5,infanticide,5
555,re,5,aspersion,3
556,re,5,criminal,3
557,re,5,malversation,5
558,re,5,molestor,5
559,re,5,scalawag,3
560,re,5,lawbreaking,3
561,re,5,slandered,5
562,re,5,captor,5
563,re,5,violent,5
564,re,5,infanticidal,3
565,re,5,felony,5
566,re,5,miscreants,4
567,re,5,torturer,5
568,re,5,piracy,5
569,re,5,kill,3
570,re,5,rapists,5
571,re,5,felonious,3
572,re,5,pillage,5
573,re,5,maltreatment,5
574,re,5,extorting,5
575,re,5,terrist,5
576,re,5,outlawing,3
577,re,5,furious,5
578,re,5,slaying,5
579,re,5,swindle,8
580,re,5,fierceness,3
581,re,5,incrimination,3
582,re,5,fury,3
583,re,5,terrorists,5
584,re,5,capturer,0
585,re,5,raped,5
586,re,5,survivor,3
587,re,5,terrorize,5
588,re,5,mafias,3
589,re,5,villan,3
590,re,5,defamatory,5
591,re,5,unauthorized,3
592,re,5,torment,2
593,re,5,defamations,3
594,re,5,molested,5
595,re,5,abstract,3
596,re,5,slayer,9
597,re,5,slanders,5
598,re,5,outlaw,3
599,re,5,unlawfulness,5
600,re,5,rook,3
601,re,5,bag,3
602,re,5,incriminating,3
603,re,5,frustrate,2
604,re,5,kidnappings,5
605,re,5,trafficker,3
606,re,5,blackmail,5
607,re,5,ordeal,3
608,re,5,lift,0
609,re,5,liquidator,3
610,re,5,mobster,3
611,re,5,criminally,3
612,re,5,crook,3
613,re,5,incriminated,3
614,re,5,terrorist,3
615,re,5,scammer,3
616,re,5,hard,3
617,re,5,red,0
618,re,5,homicide,5
619,re,5,defamation,5
620,re,5,steal,3
621,re,5,murderess,6
622,re,5,incriminates,3
623,re,5,villainous,4
624,re,5,kidnappers,5
625,re,5,extortioners,3
626,re,5,exacting,3
627,re,5,stoled,3
628,re,5,gangster,3
629,re,5,vilify,3
630,re,5,violance,5
631,re,5,raper,3
632,re,5,defrauder,3
633,re,5,plagiarists,5
634,re,5,abuser,5
635,re,5,abuses,5
636,re,5,wild,3
637,pr,6,john,3
638,pr,6,trollop,6
639,pr,6,prostitute,6
640,pr,6,jade,0
641,pr,6,bitch,9
642,pr,6,tart,3
643,pr,6,hussy,6
644,pr,6,streetwalker,6
645,pr,6,prositution,6
646,pr,6,strumpet,6
647,pr,6,hoe,6
648,pr,6,hookers,6
649,pr,6,harlot,6
650,pr,6,courtesans,3
651,pr,6,moll,6
652,pr,6,socialite,6
653,pr,6,vixen,6
654,pr,6,courtiers,2
655,pr,6,whore,6
656,pr,6,manwhore,3
657,pr,6,courtesan,6
658,pr,6,sonofabitch,9
659,pr,6,whores,6
660,pr,6,bunkum,9
661,pr,6,sluts,6
662,pr,6,hooking,6
663,asf,7,muff,2
664,asf,7,idiocy,0
665,asf,7,vagina,8
666,asf,7,mug,0
667,asf,7,sucker,0
668,asf,7,simple,3
669,asf,7,cunts,8
670,asf,7,doofus,0
671,asf,7,doll,3
672,asf,7,changelings,0
673,asf,7,slit,0
674,asf,7,loggerhead,9
675,asf,7,booby,0
676,asf,7,curlies,9
677,asf,7,fool,0
678,asf,7,bonehead,9
679,asf,7,retard,0
680,asf,7,imbecile,0
681,asf,7,knucklehead,9
682,asf,7,chump,8
683,asf,7,pussies,9
684,asf,7,snatch,5
685,asf,7,imbecility,8
686,asf,7,vajayjay,6
687,asf,7,dummy,0
688,asf,7,dimwit,0
689,asf,7,babe,3
690,asf,7,simpleton,0
691,asf,7,dunderhead,9
692,asf,7,muggins,8
693,asf,7,dame,1
694,asf,7,vaginal,1
695,asm,8,mark,7
696,asm,8,simpleton,0
697,asm,8,patsy,3
698,asm,8,dick,8
699,asm,8,fatuously,3
700,asm,8,testes,2
701,asm,8,imbecile,0
702,asm,8,brownish,8
703,asm,8,pecker,8
704,asm,8,sucker,0
705,asm,8,dummy,0
706,asm,8,fool,0
707,asm,8,dismissal,3
708,asm,8,phallic,6
709,asm,8,phallus,8
710,asm,8,shaft,1
711,asm,8,pickle,2
712,asm,8,stupidly,9
713,asm,8,victimize,5
714,asm,8,dumbbell,0
715,asm,8,folly,7
716,asm,8,eejit,7
717,asm,8,twit,9
718,asm,8,simple,3
719,asm,8,testis,2
720,asm,8,fuck,8
721,asm,8,effed,9
722,asm,8,con,5
723,asm,8,score,3
724,asm,8,sap,3
725,asm,8,ray,3
726,asm,8,testicle,2
727,asm,8,ovum,2
728,asm,8,oaf,0
729,asm,8,dolt,0
730,asm,8,penile,1
731,asm,8,screw,8
732,asm,8,stupidness,9
733,asm,8,peter,3
734,asm,8,appendage,1
735,asm,8,dong,3
736,asm,8,jazz,3
737,asm,8,stupider,9
738,asm,8,fucking,8
739,asm,8,pea,8
740,asm,8,brownness,0
741,asm,8,mug,0
742,asm,8,fooled,8
743,asm,8,roosting,8
744,asm,8,phuck,9
745,asm,8,credulousness,3
746,asm,8,nut,2
747,asm,8,cockerel,8
748,asm,8,retard,0
749,asm,8,screwing,8
750,asm,8,penises,8
751,asm,8,bed,6
752,asm,8,jeer,3
753,asm,8,dimwit,0
754,asm,8,member,3
755,ddp,9,galoot,0
756,ddp,9,barbarians,0
757,ddp,9,unlettered,9
758,ddp,9,illiterate,9
759,ddp,9,moron,0
760,ddp,9,bozo,9
761,ddp,9,muggins,8
762,ddp,9,dope,0
763,ddp,9,subnormal,1
764,ddp,9,blockhead,7
765,ddp,9,trash,2
766,ddp,9,barbarism,9
767,ddp,9,fool,0
768,ddp,9,quack,3
769,ddp,9,oaf,0
770,ddp,9,cretin,3
771,ddp,9,credulous,8
772,ddp,9,dunderheads,0
773,ddp,9,viciousness,5
774,ddp,9,cocksucker,3
775,ddp,9,fatuity,8
776,ddp,9,folly,7
777,ddp,9,microencephaly,5
778,ddp,9,macrofauna,3
779,ddp,9,shysters,3
780,ddp,9,stultified,3
781,ddp,9,uncultured,3
782,ddp,9,artless,3
783,ddp,9,rumormonger,3
784,ddp,9,stumblebum,0
785,ddp,9,fumbler,2
786,ddp,9,unintelligent,8
787,ddp,9,curmudgeon,3
788,ddp,9,microcephalic,9
789,ddp,9,fatuously,3
790,ddp,9,retardation,9
791,ddp,9,fuckup,2
792,ddp,9,dummy,0
793,ddp,9,empiricism,3
794,ddp,9,simple,3
795,ddp,9,nincompoop,8
796,ddp,9,charlatan,3
797,ddp,9,imbeciles,3
798,ddp,9,idiots,0
799,ddp,9,innocent,3
800,ddp,9,dolt,0
801,ddp,9,adolescent,3
802,ddp,9,prisoner,3
803,ddp,9,brutal,5
804,ddp,9,obtuse,3
805,ddp,9,gossip,3
806,ddp,9,idiotic,0
807,ddp,9,metazoans,1
808,ddp,9,ignorant,9
809,ddp,9,lunkhead,7
810,ddp,9,nonsenses,3
811,ddp,9,fooled,8
812,ddp,9,twat,7
813,ddp,9,changelings,0
814,ddp,9,trumpery,7
815,ddp,9,microcephalics,5
816,ddp,9,witless,9
817,ddp,9,sap,3
818,ddp,9,nitwit,0
819,ddp,9,captive,3
820,ddp,9,barbarian,0
821,ddp,9,telltale,0
822,ddp,9,ragtag,2
823,ddp,9,retard,0
824,ddp,9,betrayer,3
825,ddp,9,idiocies,3
826,ddp,9,stultifyingly,3
827,ddp,9,booby,0
828,ddp,9,quacks,3
829,ddp,9,asshole,9
830,ddp,9,nonsence,9
831,ddp,9,putz,0
832,ddp,9,stupefy,8
833,ddp,9,sob,3
834,ddp,9,mark,7
835,ddp,9,dense,3
836,ddp,9,lout,0
837,ddp,9,shithead,7
838,ddp,9,stumbler,3
839,ddp,9,doofus,0
840,ddp,9,lummox,0
841,ddp,9,fathead,9
842,ddp,9,quackery,3
843,ddp,9,motherfucker,3
844,ddp,9,animal,3
845,ddp,9,incompetent,9
846,ddf,10,slimy,3
847,ddf,10,unworthy,3
848,ddf,10,malformed,1
849,ddf,10,halting,3
850,ddf,10,monocular,1
851,ddf,10,humpback,8
852,ddf,10,unsightly,3
853,ddf,10,handicap,3
854,ddf,10,invalidity,3
855,ddf,10,ugly,3
856,ddf,10,unsighted,3
857,ddf,10,peewee,3
858,ddf,10,halt,3
859,ddf,10,cripple,5
860,ddf,10,midget,3
861,ddf,10,gimpy,3
862,ddf,10,handicapped,10
